Source,E_L23,PV_L23,SOM_L23,VIP_L23,E_L4AB,PV_L4AB,SOM_L4AB,VIP_L4AB,E_L4C,PV_L4C,SOM_L4C,VIP_L4C,E_L5,PV_L5,SOM_L5,VIP_L5,E_L6,PV_L6,SOM_L6,VIP_L6
E_L23,0.05,0.25,0.09,0.10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.165,0.11,0.108,0.02,0.018,0.012,0.008,0.006
PV_L23,0.41,0.45,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.012,0.0,0.005,0.0025,0.004,0.0,0.0015
SOM_L23,0.133,0.19,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0105,0.008,0.0,0.004,0.0031,0.003,0.0,0.0
VIP_L23,0.11,0.02,0.12,0.08,0.0,0.0,0.012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015,0.0,0.0,0.0,0.006,0.0
E_L4AB,0.095,0.045,0.01,0.025,0.04,0.25,0.097,0.1,0.005,0.006,0.005,0.004,0.04,0.028,0.018,0.015,0.012,0.008,0.005,0.004
PV_L4AB,0.014,0.016,0.0,0.05,0.55,0.45,0.0,0.12,0.005,0.006,0.0,0.003,0.012,0.014,0.0,0.004,0.006,0.008,0.0,0.0015
SOM_L4AB,0.0185,0.01,0.0,0.08,0.16,0.21,0.0,0.18,0.0042,0.005,0.0,0.004,0.0084,0.006,0.0,0.0,0.0031,0.004,0.0,0.0
VIP_L4AB,0.0,0.0,0.02,0.0,0.1,0.1,0.48,0.1,0.0,0.0,0.012,0.0,0.0,0.0,0.015,0.0,0.0,0.0,0.006,0.0
E_L4C,0.14,0.1,0.07,0.055,0.18,0.18,0.035,0.025,0.075,0.32,0.18,0.2,0.035,0.025,0.016,0.01,0.022,0.015,0.01,0.008
PV_L4C,0.21,0.012,0.0,0.003,0.012,0.014,0.0,0.09,0.55,0.38,0.0,0.1,0.008,0.01,0.0,0.003,0.004,0.005,0.0,0.0025
SOM_L4C,0.154,0.008,0.0,0.0,0.0105,0.008,0.0,0.06,0.225,0.3,0.0,0.4,0.0063,0.005,0.0,0.005,0.0042,0.004,0.0,0.0
VIP_L4C,0.1,0.0,0.02,0.0,0.0,0.0,0.02,0.0,0.1,0.1,0.4,0.1,0.0,0.0,0.014,0.0,0.0,0.0,0.006,0.0
E_L5,0.17,0.15,0.09,0.015,0.17,0.15,0.015,0.008,0.018,0.032,0.005,0.006,0.06,0.28,0.12,0.12,0.045,0.03,0.022,0.018
PV_L5,0.008,0.01,0.0,0.0025,0.004,0.005,0.0,0.002,0.006,0.008,0.0,0.002,0.48,0.42,0.0,0.2,0.008,0.01,0.0,0.004
SOM_L5,0.1601,0.046,0.0,0.0,0.0063,0.005,0.0,0.0,0.0074,0.006,0.0,0.004,0.1325,0.3,0.0,0.12,0.0126,0.01,0.0,0.008
VIP_L5,0.0,0.0,0.02,0.0,0.0,0.0,0.015,0.0,0.0,0.0,0.012,0.0,0.08,0.02,0.11,0.07,0.0,0.0,0.025,0.0
E_L6,0.04,0.048,0.015,0.012,0.015,0.04,0.005,0.008,0.045,0.1,0.025,0.015,0.035,0.022,0.016,0.012,0.1,0.24,0.20,0.14
PV_L6,0.0025,0.003,0.0,0.0012,0.006,0.008,0.0,0.0015,0.015,0.012,0.0,0.004,0.006,0.008,0.0,0.003,0.5,0.45,0.0,0.15
SOM_L6,0.0092,0.008,0.0,0.0,0.0052,0.004,0.0,0.0,0.0105,0.008,0.0,0.0,0.0105,0.008,0.0,0.006,0.264,0.32,0.0,0.24
VIP_L6,0.0,0.0,0.012,0.0,0.0,0.0,0.012,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.025,0.0,0.08,0.08,0.4,0.32
