Source,E_L23,PV_L23,SOM_L23,VIP_L23,E_L4AB,PV_L4AB,SOM_L4AB,VIP_L4AB,E_L4C,PV_L4C,SOM_L4C,VIP_L4C,E_L5,PV_L5,SOM_L5,VIP_L5,E_L6,PV_L6,SOM_L6,VIP_L6
E_L23,0.072,0.742,0.3109,0.201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015,0.325,0.075,0.04,0.0,0.0,0.0,0.0
PV_L23,0.696,1.9991,0.0,0.1685,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.175,0.075,0.0,0.01795,0.0,0.0,0.0,0.0
SOM_L23,0.401,0.964,0.0,0.2035,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.01465,0.0,0.01,0.0,0.0,0.0,0.0
VIP_L23,0.203,0.1646,0.6133,0.2408,0.0,0.0,0.0256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0
E_L4AB,0.0825,0.192,0.06,0.021,0.07115,0.631,0.2386,0.5052,0.0,0.0,0.0,0.0,0.025,0.55,0.12,0.08,0.02,0.2,0.05,0.03
PV_L4AB,0.15,0.2149,0.0,0.0538,0.961,1.791,0.0,0.3485,0.3844,0.7164,0.0,0.1394,0.22,0.1,0.0,0.0359,0.15,0.1433,0.0,0.0359
SOM_L4AB,0.16,0.12568,0.0,0.02,0.2546,0.4184,0.0,0.1035,0.10184,0.0368,0.0,0.0414,0.05,0.0245,0.0,0.0,0.04,0.0245,0.0,0.0
VIP_L4AB,0.16,0.0,0.002,0.0,0.1246,0.1246,0.3133,0.3408,0.0,0.0,0.022,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.02,0.0
E_L4C,0.08,0.195,0.08,0.003,0.095,0.385,0.08,0.12,0.1515,0.9231,0.16,0.2052,0.025,0.25,0.06,0.04,0.02,0.2,0.05,0.03
PV_L4C,0.152,0.16,0.0,0.12,0.0615,0.18,0.0,0.06,0.91,1.9191,0.0,0.1585,0.08,0.2303,0.0,0.02,0.06,0.1535,0.0,0.02
SOM_L4C,0.1611,0.181,0.0,0.1,0.0416,0.0421,0.0,0.0256,0.3946,0.35064,0.0,0.1135,0.05,0.0421,0.0,0.0256,0.04,0.0281,0.0,0.0
VIP_L4C,0.04,0.0,0.02,0.0,0.021,0.0,0.098,0.0,0.1005,0.1246,0.433,0.2408,0.0,0.0,0.028,0.0,0.0,0.0,0.02,0.0
E_L5,0.056999999999999995,0.7769999999999999,0.1872,0.036,0.01125,0.25,0.05,0.025,0.02,0.18,0.04,0.03,0.095,0.941,0.3152,0.3271,0.04,0.4,0.08,0.05
PV_L5,0.402,0.2394,0.0,0.02154,0.03,0.06995,0.0,0.01795,0.05,0.2098,0.0,0.0538,0.812,1.9484,0.0,0.4485,0.12,0.2098,0.0,0.0538
SOM_L5,0.162,0.0756,0.0,0.0,0.0135,0.013,0.0,0.0,0.05,0.039,0.0,0.02,0.237,0.351,0.0,0.1035,0.06,0.039,0.0,0.02
VIP_L5,0.0,0.0,0.012,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0242,0.0,0.1253,0.1246,0.2015,0.3408,0.0,0.0,0.0242,0.0
E_L6,0.13,0.4,0.07,0.04,0.32,1.1,0.16,0.1,0.16,0.95,0.14,0.08,0.035,0.35,0.08,0.05,0.105,1.041,0.6152,0.5271
PV_L6,0.097,0.1399,0.0,0.0359,0.3,0.2798,0.0,0.2718,0.25,0.1,0.0,0.0359,0.12,0.2098,0.0,0.0538,0.912,1.9484,0.0,0.4485
SOM_L6,0.067,0.0201,0.0,0.0,0.1,0.0602,0.0,0.2,0.18,0.0201,0.0,0.0,0.05,0.0301,0.0,0.02,0.437,0.351,0.0,0.1035
VIP_L6,0.0,0.0,0.0241,0.0,0.0,0.0,0.0482,0.0,0.0,0.0,0.0241,0.0,0.0,0.0,0.0362,0.0,0.253,0.1246,0.2015,0.3408
