Source,E_L23,PV_L23,SOM_L23,VIP_L23,E_L4AB,PV_L4AB,SOM_L4AB,VIP_L4AB,E_L4C,PV_L4C,SOM_L4C,VIP_L4C,E_L5,PV_L5,SOM_L5,VIP_L5,E_L6,PV_L6,SOM_L6,VIP_L6
E_L23,0.072,0.742,0.3109,0.201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.65,0.15,0.08,0.025,0.25,0.06,0.04
PV_L23,1.096,1.9991,0.0,0.1685,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.15,0.0,0.0359,0.06,0.1599,0.0,0.0359
SOM_L23,0.201,0.964,0.0,0.2035,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0293,0.0,0.02,0.0337,0.0293,0.0,0.0
VIP_L23,0.203,0.1646,0.6133,0.2408,0.0,0.0,0.0256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.02,0.0
E_L4AB,0.0825,0.392,0.06,0.021,0.07115,0.631,0.2386,0.5052,0.0,0.0,0.0,0.0,0.025,0.55,0.12,0.08,0.02,0.2,0.05,0.03
PV_L4AB,0.15,0.2149,0.0,0.0538,0.961,1.791,0.0,0.3485,0.08,0.2149,0.0,0.0538,0.22,0.1,0.0,0.0359,0.15,0.1433,0.0,0.0359
SOM_L4AB,0.16,0.12568,0.0,0.02,0.2546,0.4184,0.0,0.1035,0.0426,0.0368,0.0,0.02,0.05,0.0245,0.0,0.0,0.04,0.0245,0.0,0.0
VIP_L4AB,0.16,0.0,0.002,0.0,0.1246,0.1246,0.3133,0.3408,0.0,0.0,0.022,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.02,0.0
E_L4C,0.08,0.195,0.08,0.003,0.095,0.385,0.08,0.12,0.1515,0.9231,0.16,0.2052,0.025,0.25,0.06,0.04,0.02,0.2,0.05,0.03
PV_L4C,0.152,0.16,0.0,0.12,0.0615,0.18,0.0,0.06,0.91,1.9191,0.0,0.1585,0.08,0.2303,0.0,0.02,0.06,0.1535,0.0,0.02
SOM_L4C,0.1611,0.181,0.0,0.1,0.0416,0.0421,0.0,0.0256,0.3946,0.35064,0.0,0.1135,0.05,0.0421,0.0,0.0256,0.04,0.0281,0.0,0.0
VIP_L4C,0.04,0.0,0.02,0.0,0.021,0.0,0.098,0.0,0.1005,0.1246,0.433,0.2408,0.0,0.0,0.028,0.0,0.0,0.0,0.02,0.0
E_L5,0.095,1.295,0.312,0.06,0.0225,0.5,0.1,0.05,0.02,0.18,0.04,0.03,0.095,0.941,0.3152,0.3271,0.04,0.4,0.08,0.05
PV_L5,0.67,0.399,0.0,0.0359,0.06,0.1399,0.0,0.0359,0.05,0.2098,0.0,0.0538,0.812,1.9484,0.0,0.4485,0.12,0.2098,0.0,0.0538
SOM_L5,0.27,0.126,0.0,0.0,0.027,0.026,0.0,0.0,0.05,0.039,0.0,0.02,0.237,0.351,0.0,0.1035,0.06,0.039,0.0,0.02
VIP_L5,0.0,0.0,0.02,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0242,0.0,0.1253,0.1246,0.2015,0.3408,0.0,0.0,0.0242,0.0
E_L6,0.13,0.4,0.07,0.04,0.16,0.55,0.08,0.05,0.16,0.95,0.14,0.08,0.035,0.35,0.08,0.05,0.105,1.041,0.6152,0.5271
PV_L6,0.097,0.1399,0.0,0.0359,0.15,0.1399,0.0,0.1359,0.25,0.1,0.0,0.0359,0.12,0.2098,0.0,0.0538,0.912,1.9484,0.0,0.4485
SOM_L6,0.067,0.0201,0.0,0.0,0.05,0.0301,0.0,0.1,0.18,0.0201,0.0,0.0,0.05,0.0301,0.0,0.02,0.437,0.351,0.0,0.1035
VIP_L6,0.0,0.0,0.0241,0.0,0.0,0.0,0.0241,0.0,0.0,0.0,0.0241,0.0,0.0,0.0,0.0362,0.0,0.253,0.1246,0.2015,0.3408
