channel,depth,n_trials_with_peak,mode_freq,mode_count,median_freq,q25_freq,q75_freq,dominant_band,frac_delta,frac_theta,frac_alpha,frac_beta,frac_low_gamma,frac_high_gamma
Ch1-Ch0,-0.865,16,11.50,5,11.60,10.99,12.21,alpha,0.00,0.00,0.94,0.00,0.00,0.06
Ch2-Ch1,-0.715,16,11.50,5,11.60,10.99,12.36,alpha,0.00,0.00,0.88,0.00,0.00,0.12
Ch3-Ch2,-0.565,16,11.00,4,10.99,10.38,11.60,alpha,0.00,0.00,0.88,0.00,0.00,0.12
Ch4-Ch3,-0.415,16,67.00,2,71.11,66.83,77.21,high_gamma,0.00,0.00,0.00,0.00,0.00,1.00
Ch5-Ch4,-0.265,16,4.50,3,11.90,4.88,26.55,theta,0.00,0.44,0.19,0.12,0.00,0.25
Ch6-Ch5,-0.115,16,5.00,8,4.88,4.88,5.65,theta,0.00,0.81,0.19,0.00,0.00,0.00
Ch7-Ch6,+0.030,16,4.50,7,4.88,4.27,5.04,theta,0.00,0.81,0.00,0.00,0.00,0.19
Ch8-Ch7,+0.180,16,4.50,9,4.27,4.27,5.04,theta,0.00,0.81,0.06,0.00,0.00,0.12
Ch9-Ch8,+0.330,16,11.50,3,12.21,11.44,27.47,alpha,0.00,0.12,0.56,0.06,0.00,0.25
Ch10-Ch9,+0.480,16,11.50,4,11.60,10.99,14.95,alpha,0.00,0.00,0.62,0.38,0.00,0.00
Ch11-Ch10,+0.630,16,11.50,4,11.60,10.99,15.87,alpha,0.00,0.00,0.62,0.38,0.00,0.00
Ch12-Ch11,+0.780,16,67.00,2,69.89,64.85,73.85,high_gamma,0.00,0.12,0.00,0.00,0.00,0.88
Ch13-Ch12,+0.930,16,11.50,4,10.07,4.88,11.60,alpha,0.00,0.38,0.62,0.00,0.00,0.00
Ch14-Ch13,+1.080,16,11.50,4,10.07,4.88,11.60,alpha,0.00,0.38,0.62,0.00,0.00,0.00
Ch15-Ch14,+1.230,16,11.50,3,13.73,11.60,15.26,beta,0.00,0.00,0.44,0.56,0.00,0.00
