lesion,band,channel,depth,frac_sig,median_log2fc,max_abs_log2fc,direction
L23_L5,delta,Ch3-Ch2,-0.565,1.000,-2.5674,3.4227,down
L23_L5,delta,Ch4-Ch3,-0.415,1.000,-2.2284,2.9031,down
L23_L5,theta,Ch3-Ch2,-0.565,1.000,-3.3589,3.7875,down
L23_L5,theta,Ch4-Ch3,-0.415,1.000,-2.1910,3.7753,down
L23_L5,theta,Ch6-Ch5,-0.115,0.429,+1.8012,1.9324,up
L23_L5,theta,Ch7-Ch6,+0.030,0.429,+0.9979,1.1815,up
L23_L5,theta,Ch9-Ch8,+0.330,0.571,+1.4713,1.7721,up
L23_L5,theta,Ch10-Ch9,+0.480,0.571,-1.2971,1.6609,down
L23_L5,theta,Ch11-Ch10,+0.630,0.571,-1.1751,1.6139,down
L23_L5,theta,Ch14-Ch13,+1.080,0.286,-0.0755,0.9868,down
L23_L5,theta,Ch15-Ch14,+1.230,0.571,-1.3189,1.5016,down
L23_L5,alpha,Ch1-Ch0,-0.865,0.500,-0.5760,2.9395,down
L23_L5,alpha,Ch2-Ch1,-0.715,0.625,+0.8121,3.1931,up
L23_L5,alpha,Ch3-Ch2,-0.565,1.000,-1.6889,2.8261,down
L23_L5,alpha,Ch4-Ch3,-0.415,1.000,-1.8452,2.2222,down
L23_L5,alpha,Ch6-Ch5,-0.115,0.375,-1.8530,2.7738,down
L23_L5,alpha,Ch7-Ch6,+0.030,0.250,-2.4264,2.9026,down
L23_L5,alpha,Ch8-Ch7,+0.180,0.250,-1.5809,1.9565,down
L23_L5,alpha,Ch9-Ch8,+0.330,0.250,-2.0383,2.4470,down
L23_L5,beta,Ch1-Ch0,-0.865,0.679,-1.4259,3.0982,down
L23_L5,beta,Ch2-Ch1,-0.715,0.821,-1.4246,3.4731,down
L23_L5,beta,Ch3-Ch2,-0.565,1.000,-2.2765,3.6041,down
L23_L5,beta,Ch4-Ch3,-0.415,0.964,-1.5984,2.4888,down
L23_L5,beta,Ch6-Ch5,-0.115,0.500,-1.2259,2.8889,down
L23_L5,beta,Ch7-Ch6,+0.030,0.571,-1.1523,2.9061,down
L23_L5,low_gamma,Ch3-Ch2,-0.565,0.375,-1.0290,1.3866,down
L23_L5,low_gamma,Ch4-Ch3,-0.415,0.375,-1.0807,1.4898,down
L23_L5,high_gamma,Ch1-Ch0,-0.865,0.256,-1.1132,1.8374,down
L23_L5,high_gamma,Ch2-Ch1,-0.715,0.354,-1.1555,1.7936,down
L23_L5,high_gamma,Ch3-Ch2,-0.565,0.976,-1.7633,2.9390,down
L23_L5,high_gamma,Ch4-Ch3,-0.415,0.817,-1.5190,2.3324,down
L23_L5,high_gamma,Ch6-Ch5,-0.115,0.280,-1.2085,1.6989,down
L23_L5,high_gamma,Ch7-Ch6,+0.030,0.488,-1.2099,1.9419,down
L4AB_L23,delta,Ch13-Ch12,+0.930,0.600,-0.9343,1.2938,down
L4AB_L23,delta,Ch14-Ch13,+1.080,0.600,-0.8584,1.2033,down
L4AB_L23,theta,Ch3-Ch2,-0.565,1.000,-1.4991,1.8705,down
L4AB_L23,theta,Ch4-Ch3,-0.415,1.000,-1.3235,2.0842,down
L4AB_L23,theta,Ch6-Ch5,-0.115,0.429,+1.4546,1.7365,up
L4AB_L23,theta,Ch9-Ch8,+0.330,0.571,+1.5750,1.8322,up
L4AB_L23,theta,Ch10-Ch9,+0.480,0.857,-2.0735,2.6992,down
L4AB_L23,theta,Ch11-Ch10,+0.630,0.857,-2.3186,2.8587,down
L4AB_L23,theta,Ch13-Ch12,+0.930,1.000,-2.9060,3.0931,down
L4AB_L23,theta,Ch14-Ch13,+1.080,1.000,-2.7588,2.9673,down
L4AB_L23,theta,Ch15-Ch14,+1.230,1.000,-2.3827,2.6429,down
L4AB_L23,alpha,Ch3-Ch2,-0.565,0.750,-2.0257,2.6878,down
