channel,depth,n_trials_with_peak,mode_freq,mode_count,median_freq,q25_freq,q75_freq,dominant_band,frac_delta,frac_theta,frac_alpha,frac_beta,frac_low_gamma,frac_high_gamma
Ch1-Ch0,-0.865,20,14.00,5,14.04,13.28,14.65,beta,0.00,0.00,0.25,0.75,0.00,0.00
Ch2-Ch1,-0.715,20,14.00,5,14.04,13.28,14.65,beta,0.00,0.00,0.25,0.75,0.00,0.00
Ch3-Ch2,-0.565,20,5.00,6,9.77,4.88,12.05,theta,0.00,0.45,0.30,0.15,0.00,0.10
Ch4-Ch3,-0.415,20,5.00,8,5.19,4.88,61.65,theta,0.00,0.65,0.00,0.05,0.00,0.30
Ch5-Ch4,-0.265,20,5.00,8,5.19,4.88,14.19,theta,0.00,0.65,0.05,0.10,0.00,0.20
Ch6-Ch5,-0.115,20,14.50,4,13.12,11.44,14.19,beta,0.00,0.20,0.30,0.50,0.00,0.00
Ch7-Ch6,+0.030,20,5.00,8,9.46,4.88,14.04,theta,0.00,0.50,0.00,0.50,0.00,0.00
Ch8-Ch7,+0.180,20,5.00,5,14.04,4.88,15.26,beta,0.00,0.35,0.05,0.55,0.00,0.05
Ch9-Ch8,+0.330,20,13.50,4,14.04,13.28,14.65,beta,0.00,0.05,0.20,0.65,0.00,0.10
Ch10-Ch9,+0.480,20,5.00,4,10.68,6.87,11.75,alpha,0.00,0.30,0.50,0.20,0.00,0.00
Ch11-Ch10,+0.630,20,5.00,4,9.77,6.87,11.75,alpha,0.00,0.30,0.50,0.20,0.00,0.00
Ch12-Ch11,+0.780,20,14.50,2,66.83,61.49,75.99,high_gamma,0.00,0.05,0.00,0.15,0.00,0.80
Ch13-Ch12,+0.930,20,5.00,10,5.19,4.88,6.41,theta,0.00,0.80,0.10,0.10,0.00,0.00
Ch14-Ch13,+1.080,20,5.00,10,5.19,4.88,6.41,theta,0.00,0.80,0.10,0.10,0.00,0.00
Ch15-Ch14,+1.230,20,5.00,4,11.29,5.49,13.58,theta,0.00,0.35,0.30,0.35,0.00,0.00
