trial,channel,depth,freq,log10_power,prominence,band,is_dominant
0,Ch1-Ch0,-0.865,2.441,-1.1895,0.2422,delta,0
0,Ch1-Ch0,-0.865,4.883,-0.2435,0.6123,theta,0
0,Ch1-Ch0,-0.865,7.324,-0.4882,0.1466,theta,0
0,Ch1-Ch0,-0.865,9.155,-0.2951,0.0527,alpha,0
0,Ch1-Ch0,-0.865,10.986,0.1267,0.3343,alpha,0
0,Ch1-Ch0,-0.865,14.648,1.0503,2.8611,beta,1
0,Ch1-Ch0,-0.865,19.531,0.2683,0.6733,beta,0
0,Ch1-Ch0,-0.865,25.635,-0.2804,0.4917,beta,0
0,Ch1-Ch0,-0.865,31.738,-0.0463,1.1326,low_gamma,0
0,Ch1-Ch0,-0.865,39.673,0.2656,1.3150,low_gamma,0
0,Ch1-Ch0,-0.865,51.880,0.3604,1.5461,high_gamma,0
0,Ch1-Ch0,-0.865,59.814,-0.2751,0.7187,high_gamma,0
0,Ch1-Ch0,-0.865,68.970,0.4095,1.6715,high_gamma,0
0,Ch1-Ch0,-0.865,91.553,0.1150,1.1427,high_gamma,0
0,Ch2-Ch1,-0.715,2.441,-0.7533,0.2356,delta,0
0,Ch2-Ch1,-0.715,4.883,0.0966,0.6031,theta,0
0,Ch2-Ch1,-0.715,7.324,-0.1065,0.1126,theta,0
0,Ch2-Ch1,-0.715,10.986,0.6059,0.3411,alpha,0
0,Ch2-Ch1,-0.715,14.648,1.5435,2.5153,beta,1
0,Ch2-Ch1,-0.715,19.531,0.7236,0.7376,beta,0
0,Ch2-Ch1,-0.715,22.583,0.1125,0.0874,beta,0
0,Ch2-Ch1,-0.715,26.245,0.1026,0.3868,beta,0
0,Ch2-Ch1,-0.715,31.738,0.4151,1.0883,low_gamma,0
0,Ch2-Ch1,-0.715,39.673,0.6844,1.1762,low_gamma,0
0,Ch2-Ch1,-0.715,51.880,0.8032,1.5127,high_gamma,0
0,Ch2-Ch1,-0.715,59.814,0.2212,0.4533,high_gamma,0
0,Ch2-Ch1,-0.715,68.970,0.8737,1.8161,high_gamma,0
0,Ch2-Ch1,-0.715,91.553,0.5175,1.2471,high_gamma,0
0,Ch3-Ch2,-0.565,2.441,0.2728,0.3399,delta,0
0,Ch3-Ch2,-0.565,4.883,1.5946,2.0857,theta,1
0,Ch3-Ch2,-0.565,9.155,1.0638,0.3553,alpha,0
0,Ch3-Ch2,-0.565,10.986,1.0575,0.3216,alpha,0
0,Ch3-Ch2,-0.565,14.648,1.4407,0.7907,beta,0
0,Ch3-Ch2,-0.565,19.531,0.8842,0.6109,beta,0
0,Ch3-Ch2,-0.565,25.024,0.7923,1.1018,beta,0
0,Ch3-Ch2,-0.565,32.349,0.4732,0.2971,low_gamma,0
0,Ch3-Ch2,-0.565,38.452,0.8456,0.9192,low_gamma,0
0,Ch3-Ch2,-0.565,46.387,0.4848,0.2230,low_gamma,0
0,Ch3-Ch2,-0.565,54.321,0.9900,0.9722,high_gamma,0
0,Ch3-Ch2,-0.565,64.697,0.4284,0.1748,high_gamma,0
0,Ch3-Ch2,-0.565,75.073,1.0669,1.5829,high_gamma,0
0,Ch3-Ch2,-0.565,91.553,0.5261,0.6983,high_gamma,0
0,Ch4-Ch3,-0.415,4.883,1.6186,1.7734,theta,1
0,Ch4-Ch3,-0.415,6.714,0.6690,0.1310,theta,0
0,Ch4-Ch3,-0.415,9.155,0.6454,0.1098,alpha,0
0,Ch4-Ch3,-0.415,10.986,0.2645,0.0877,alpha,0
0,Ch4-Ch3,-0.415,14.648,1.0849,1.5873,beta,0
0,Ch4-Ch3,-0.415,18.311,0.6399,0.4362,beta,0
0,Ch4-Ch3,-0.415,21.362,0.7858,0.8090,beta,0
0,Ch4-Ch3,-0.415,25.024,0.6025,0.5740,beta,0
0,Ch4-Ch3,-0.415,29.297,0.7059,0.7900,beta,0
0,Ch4-Ch3,-0.415,34.180,0.7955,1.1476,low_gamma,0
0,Ch4-Ch3,-0.415,40.283,0.5996,0.8524,low_gamma,0
0,Ch4-Ch3,-0.415,51.880,1.2454,1.1607,high_gamma,0
0,Ch4-Ch3,-0.415,63.477,1.0852,0.6318,high_gamma,0
0,Ch4-Ch3,-0.415,75.684,1.3909,1.7972,high_gamma,0
0,Ch4-Ch3,-0.415,91.553,1.0073,1.2451,high_gamma,0
0,Ch5-Ch4,-0.265,1.831,0.0258,0.1133,delta,0
0,Ch5-Ch4,-0.265,4.883,1.6422,2.1067,theta,1
0,Ch5-Ch4,-0.265,9.155,0.6302,0.1361,alpha,0
0,Ch5-Ch4,-0.265,11.597,1.0907,0.8986,alpha,0
0,Ch5-Ch4,-0.265,14.648,1.3996,1.4968,beta,0
0,Ch5-Ch4,-0.265,19.531,0.8114,0.3800,beta,0
0,Ch5-Ch4,-0.265,24.414,0.8878,0.8809,beta,0
0,Ch5-Ch4,-0.265,29.297,0.6134,0.5953,beta,0
0,Ch5-Ch4,-0.265,34.180,0.8018,0.8842,low_gamma,0
0,Ch5-Ch4,-0.265,39.673,0.9809,1.2284,low_gamma,0
0,Ch5-Ch4,-0.265,53.711,1.4698,1.0591,high_gamma,0
0,Ch5-Ch4,-0.265,64.697,1.3026,0.3607,high_gamma,0
0,Ch5-Ch4,-0.265,74.463,1.5081,1.8851,high_gamma,0
0,Ch5-Ch4,-0.265,89.722,1.0962,1.3469,high_gamma,0
0,Ch6-Ch5,-0.115,4.883,1.6361,1.3894,theta,0
0,Ch6-Ch5,-0.115,9.155,1.2963,0.4505,alpha,0
0,Ch6-Ch5,-0.115,11.597,1.6799,0.5860,alpha,0
0,Ch6-Ch5,-0.115,14.648,2.0860,2.7222,beta,1
0,Ch6-Ch5,-0.115,20.752,0.9972,0.3679,beta,0
0,Ch6-Ch5,-0.115,24.414,1.1156,1.0760,beta,0
0,Ch6-Ch5,-0.115,28.687,0.5712,1.1713,beta,0
0,Ch6-Ch5,-0.115,37.842,1.0054,0.2136,low_gamma,0
0,Ch6-Ch5,-0.115,44.556,1.3368,0.8401,low_gamma,0
0,Ch6-Ch5,-0.115,54.321,1.7908,1.7763,high_gamma,0
0,Ch6-Ch5,-0.115,70.801,1.5040,1.0970,high_gamma,0
0,Ch6-Ch5,-0.115,90.332,1.3516,1.0971,high_gamma,0
0,Ch7-Ch6,+0.030,1.831,0.1880,0.4246,delta,0
0,Ch7-Ch6,+0.030,4.883,1.7155,1.5802,theta,0
0,Ch7-Ch6,+0.030,7.324,0.5401,0.2163,theta,0
0,Ch7-Ch6,+0.030,9.155,0.6758,0.3611,alpha,0
0,Ch7-Ch6,+0.030,11.597,1.2315,0.0918,alpha,0
0,Ch7-Ch6,+0.030,14.038,1.9834,2.2888,beta,1
0,Ch7-Ch6,+0.030,17.700,1.0927,0.5115,beta,0
0,Ch7-Ch6,+0.030,21.362,1.0128,0.7670,beta,0
0,Ch7-Ch6,+0.030,26.855,1.1664,1.4281,beta,0
0,Ch7-Ch6,+0.030,31.128,0.9023,0.2880,low_gamma,0
0,Ch7-Ch6,+0.030,39.673,0.8963,1.1375,low_gamma,0
0,Ch7-Ch6,+0.030,45.776,0.7302,0.7705,low_gamma,0
0,Ch7-Ch6,+0.030,59.814,1.1872,0.8577,high_gamma,0
0,Ch7-Ch6,+0.030,70.190,1.1933,0.8120,high_gamma,0
0,Ch7-Ch6,+0.030,82.397,1.3420,1.6110,high_gamma,0
0,Ch7-Ch6,+0.030,97.046,0.7175,0.5783,high_gamma,0
0,Ch8-Ch7,+0.180,2.441,0.3987,0.0666,delta,0
0,Ch8-Ch7,+0.180,4.883,1.8018,1.5470,theta,0
0,Ch8-Ch7,+0.180,14.648,2.1546,1.9189,beta,1
0,Ch8-Ch7,+0.180,17.700,1.0323,0.3126,beta,0
0,Ch8-Ch7,+0.180,25.024,1.4133,1.1360,beta,0
0,Ch8-Ch7,+0.180,31.738,1.0398,0.2317,low_gamma,0
0,Ch8-Ch7,+0.180,39.673,1.4086,1.2574,low_gamma,0
0,Ch8-Ch7,+0.180,45.776,1.2389,1.0684,low_gamma,0
0,Ch8-Ch7,+0.180,53.711,1.8005,1.6917,high_gamma,0
0,Ch8-Ch7,+0.180,70.190,1.5194,0.8083,high_gamma,0
0,Ch8-Ch7,+0.180,83.008,1.5175,0.8032,high_gamma,0
0,Ch8-Ch7,+0.180,97.046,1.1084,0.9962,high_gamma,0
0,Ch9-Ch8,+0.330,4.883,1.4497,1.4262,theta,0
0,Ch9-Ch8,+0.330,9.155,1.1542,0.2622,alpha,0
0,Ch9-Ch8,+0.330,11.597,1.5445,0.5908,alpha,0
0,Ch9-Ch8,+0.330,14.648,2.2608,2.8922,beta,1
0,Ch9-Ch8,+0.330,17.700,1.3467,0.2538,beta,0
0,Ch9-Ch8,+0.330,20.752,1.1372,0.5898,beta,0
0,Ch9-Ch8,+0.330,24.414,1.1650,1.0449,beta,0
0,Ch9-Ch8,+0.330,31.738,1.0745,1.3400,low_gamma,0
0,Ch9-Ch8,+0.330,42.114,1.0319,1.2266,low_gamma,0
0,Ch9-Ch8,+0.330,54.321,1.6639,1.7369,high_gamma,0
0,Ch9-Ch8,+0.330,64.087,1.2590,0.0611,high_gamma,0
0,Ch9-Ch8,+0.330,74.463,1.6436,0.9892,high_gamma,0
0,Ch9-Ch8,+0.330,87.280,1.2693,0.9464,high_gamma,0
0,Ch10-Ch9,+0.480,2.441,0.2774,0.4686,delta,0
0,Ch10-Ch9,+0.480,4.883,2.0010,2.3481,theta,1
0,Ch10-Ch9,+0.480,7.935,1.3988,0.0546,theta,0
0,Ch10-Ch9,+0.480,9.155,1.6510,0.6467,alpha,0
0,Ch10-Ch9,+0.480,11.597,1.6008,0.3216,alpha,0
0,Ch10-Ch9,+0.480,14.648,1.6888,0.6377,beta,0
0,Ch10-Ch9,+0.480,18.311,1.7509,0.9077,beta,0
0,Ch10-Ch9,+0.480,24.414,1.6691,0.8442,beta,0
0,Ch10-Ch9,+0.480,31.738,1.1058,0.9529,low_gamma,0
0,Ch10-Ch9,+0.480,41.504,1.2466,1.1868,low_gamma,0
0,Ch10-Ch9,+0.480,48.828,1.2817,1.2302,low_gamma,0
0,Ch10-Ch9,+0.480,59.814,1.7158,1.7565,high_gamma,0
0,Ch10-Ch9,+0.480,78.735,1.6337,1.4642,high_gamma,0
0,Ch10-Ch9,+0.480,97.046,0.8939,0.5760,high_gamma,0
0,Ch11-Ch10,+0.630,2.441,0.0893,0.6649,delta,0
0,Ch11-Ch10,+0.630,4.883,1.8043,2.8477,theta,1
0,Ch11-Ch10,+0.630,9.155,1.4874,0.6658,alpha,0
0,Ch11-Ch10,+0.630,12.817,1.4592,0.5222,alpha,0
0,Ch11-Ch10,+0.630,18.311,1.5419,0.9384,beta,0
0,Ch11-Ch10,+0.630,24.414,1.4388,0.9991,beta,0
0,Ch11-Ch10,+0.630,35.400,1.0102,0.9031,low_gamma,0
0,Ch11-Ch10,+0.630,41.504,0.9230,0.7905,low_gamma,0
0,Ch11-Ch10,+0.630,48.828,1.1359,1.1156,low_gamma,0
0,Ch11-Ch10,+0.630,59.814,1.3586,1.5404,high_gamma,0
0,Ch11-Ch10,+0.630,68.970,1.0253,0.1919,high_gamma,0
0,Ch11-Ch10,+0.630,80.566,1.4802,2.2253,high_gamma,0
0,Ch11-Ch10,+0.630,97.656,0.4786,0.6235,high_gamma,0
0,Ch12-Ch11,+0.780,4.883,0.4697,1.3676,theta,0
0,Ch12-Ch11,+0.780,9.155,0.0216,0.4790,alpha,0
0,Ch12-Ch11,+0.780,11.597,0.3338,0.6548,alpha,0
0,Ch12-Ch11,+0.780,14.648,0.9859,2.0539,beta,1
0,Ch12-Ch11,+0.780,17.700,0.5064,0.5732,beta,0
0,Ch12-Ch11,+0.780,21.362,0.3503,0.6669,beta,0
0,Ch12-Ch11,+0.780,25.635,0.4008,0.9441,beta,0
0,Ch12-Ch11,+0.780,33.569,0.3142,0.9539,low_gamma,0
0,Ch12-Ch11,+0.780,42.114,0.3607,0.9536,low_gamma,0
0,Ch12-Ch11,+0.780,54.321,0.3458,0.6744,high_gamma,0
0,Ch12-Ch11,+0.780,67.139,0.2694,0.4586,high_gamma,0
0,Ch12-Ch11,+0.780,78.735,0.8471,2.4557,high_gamma,0
0,Ch12-Ch11,+0.780,90.942,0.3614,1.5207,high_gamma,0
0,Ch13-Ch12,+0.930,2.441,0.7240,0.1164,delta,0
0,Ch13-Ch12,+0.930,4.883,2.3796,2.6076,theta,1
0,Ch13-Ch12,+0.930,6.714,1.4583,0.0547,theta,0
0,Ch13-Ch12,+0.930,9.155,1.8170,0.4379,alpha,0
0,Ch13-Ch12,+0.930,11.597,1.5020,0.1980,alpha,0
0,Ch13-Ch12,+0.930,14.648,1.9248,1.1685,beta,0
0,Ch13-Ch12,+0.930,19.531,1.4710,0.3760,beta,0
0,Ch13-Ch12,+0.930,24.414,1.4211,0.9249,beta,0
0,Ch13-Ch12,+0.930,29.297,0.9630,0.8387,beta,0
0,Ch13-Ch12,+0.930,38.452,0.9283,0.8178,low_gamma,0
0,Ch13-Ch12,+0.930,51.880,0.9387,1.1275,high_gamma,0
0,Ch13-Ch12,+0.930,69.580,0.8154,0.8318,high_gamma,0
0,Ch13-Ch12,+0.930,80.566,1.0251,1.2496,high_gamma,0
0,Ch13-Ch12,+0.930,97.656,0.4911,0.7460,high_gamma,0
0,Ch14-Ch13,+1.080,2.441,0.8719,0.0953,delta,0
0,Ch14-Ch13,+1.080,4.883,2.5185,2.6155,theta,1
0,Ch14-Ch13,+1.080,9.155,1.9355,0.4449,alpha,0
0,Ch14-Ch13,+1.080,11.597,1.6464,0.1834,alpha,0
0,Ch14-Ch13,+1.080,14.648,2.0809,1.1712,beta,0
0,Ch14-Ch13,+1.080,19.531,1.5852,0.3741,beta,0
0,Ch14-Ch13,+1.080,24.414,1.5410,1.0274,beta,0
0,Ch14-Ch13,+1.080,29.297,1.0204,0.5306,beta,0
0,Ch14-Ch13,+1.080,38.452,0.8481,0.9350,low_gamma,0
0,Ch14-Ch13,+1.080,51.880,1.0129,1.3824,high_gamma,0
0,Ch14-Ch13,+1.080,69.580,0.9906,1.0276,high_gamma,0
0,Ch14-Ch13,+1.080,92.163,0.8528,0.9280,high_gamma,0
0,Ch15-Ch14,+1.230,2.441,-1.5097,0.2140,delta,0
0,Ch15-Ch14,+1.230,4.883,0.4556,1.3609,theta,0
0,Ch15-Ch14,+1.230,9.155,0.1581,0.5114,alpha,0
0,Ch15-Ch14,+1.230,11.597,-0.1520,0.4686,alpha,0
0,Ch15-Ch14,+1.230,14.648,0.5731,2.5847,beta,1
0,Ch15-Ch14,+1.230,17.700,-0.1494,0.1684,beta,0
0,Ch15-Ch14,+1.230,20.752,0.0122,0.3471,beta,0
0,Ch15-Ch14,+1.230,25.635,0.0268,1.0641,beta,0
0,Ch15-Ch14,+1.230,31.128,-0.8241,0.1100,low_gamma,0
0,Ch15-Ch14,+1.230,38.452,-0.4781,1.0539,low_gamma,0
0,Ch15-Ch14,+1.230,54.321,-0.3062,0.7528,high_gamma,0
0,Ch15-Ch14,+1.230,65.308,-0.4644,0.5536,high_gamma,0
0,Ch15-Ch14,+1.230,78.735,0.0176,1.4427,high_gamma,0
0,Ch15-Ch14,+1.230,91.553,0.0482,1.0138,high_gamma,0
1,Ch1-Ch0,-0.865,5.493,-0.4085,0.9642,theta,0
1,Ch1-Ch0,-0.865,11.597,0.6803,0.8584,alpha,0
1,Ch1-Ch0,-0.865,15.259,0.6899,2.2824,beta,1
1,Ch1-Ch0,-0.865,18.921,0.2058,0.3589,beta,0
1,Ch1-Ch0,-0.865,25.635,-0.1514,0.8105,beta,0
1,Ch1-Ch0,-0.865,32.349,-0.1936,0.7608,low_gamma,0
1,Ch1-Ch0,-0.865,37.231,-0.0001,1.2073,low_gamma,0
1,Ch1-Ch0,-0.865,44.556,-0.3271,0.8406,low_gamma,0
1,Ch1-Ch0,-0.865,53.711,-0.1124,0.8212,high_gamma,0
