# Lesion L4AB_L23
# Significant band/channel combinations (>=25% of bins pass FDR<0.05)

band       channel        depth  frac_sig  med_log2FC   max_abs   dir
delta      Ch10-Ch9      +0.480      1.00      +1.321     3.008    up
delta      Ch13-Ch12     +0.930      0.50      -0.775     1.322  down
delta      Ch14-Ch13     +1.080      0.83      -0.830     1.286  down
delta      Ch15-Ch14     +1.230      0.50      -0.939     1.266  down
theta      Ch10-Ch9      +0.480      0.88      +2.085     3.179    up
theta      Ch11-Ch10     +0.630      0.62      +1.877     1.978    up
theta      Ch13-Ch12     +0.930      0.38      -1.124     1.231  down
theta      Ch14-Ch13     +1.080      0.62      -0.835     1.422  down
theta      Ch15-Ch14     +1.230      0.62      -0.808     1.404  down
alpha      Ch4-Ch3       -0.415      0.30      -0.859     0.912  down
alpha      Ch10-Ch9      +0.480      0.60      +1.042     1.216    up
alpha      Ch13-Ch12     +0.930      0.80      -0.932     1.037  down
alpha      Ch14-Ch13     +1.080      1.00      -1.231     1.427  down
alpha      Ch15-Ch14     +1.230      1.00      -1.189     1.335  down
beta       Ch13-Ch12     +0.930      0.54      -1.032     1.647  down
beta       Ch14-Ch13     +1.080      0.74      -1.063     1.739  down
beta       Ch15-Ch14     +1.230      0.71      -1.030     1.736  down
high_gamma Ch13-Ch12     +0.930      0.48      -0.882     1.362  down
high_gamma Ch14-Ch13     +1.080      0.60      -1.015     1.856  down
high_gamma Ch15-Ch14     +1.230      0.59      -0.980     1.807  down
