# Lesion L4C_L23
# Significant band/channel combinations (>=25% of bins pass FDR<0.05)

band       channel        depth  frac_sig  med_log2FC   max_abs   dir
delta      Ch1-Ch0       -0.865      0.67      -0.848     1.143  down
delta      Ch2-Ch1       -0.715      0.67      -0.778     1.104  down
delta      Ch3-Ch2       -0.565      0.67      -0.920     1.075  down
delta      Ch4-Ch3       -0.415      0.83      -0.892     1.154  down
delta      Ch9-Ch8       +0.330      0.50      +2.120     2.158    up
delta      Ch10-Ch9      +0.480      1.00      +2.445     3.419    up
delta      Ch11-Ch10     +0.630      1.00      +1.477     2.012    up
delta      Ch13-Ch12     +0.930      1.00      -1.427     1.521  down
delta      Ch14-Ch13     +1.080      1.00      -1.433     1.565  down
delta      Ch15-Ch14     +1.230      1.00      -1.371     1.531  down
theta      Ch1-Ch0       -0.865      0.88      -1.187     1.667  down
theta      Ch2-Ch1       -0.715      0.88      -1.139     1.563  down
theta      Ch3-Ch2       -0.565      0.88      -1.250     1.739  down
theta      Ch4-Ch3       -0.415      0.88      -1.476     2.201  down
theta      Ch5-Ch4       -0.265      0.25      -1.021     1.083  down
theta      Ch6-Ch5       -0.115      0.38      +1.136     1.191    up
theta      Ch9-Ch8       +0.330      1.00      +2.158     2.378    up
theta      Ch10-Ch9      +0.480      1.00      +2.558     3.477    up
theta      Ch11-Ch10     +0.630      1.00      +1.660     2.119    up
theta      Ch13-Ch12     +0.930      1.00      -1.865     2.553  down
theta      Ch14-Ch13     +1.080      1.00      -2.371     3.311  down
theta      Ch15-Ch14     +1.230      1.00      -2.334     3.283  down
alpha      Ch1-Ch0       -0.865      0.40      -1.167     1.336  down
alpha      Ch2-Ch1       -0.715      0.40      -1.077     1.242  down
alpha      Ch3-Ch2       -0.565      0.40      -1.315     1.531  down
alpha      Ch4-Ch3       -0.415      1.00      -1.389     2.083  down
alpha      Ch9-Ch8       +0.330      0.90      +1.636     2.016    up
alpha      Ch10-Ch9      +0.480      0.90      +1.941     2.229    up
alpha      Ch11-Ch10     +0.630      0.90      +1.458     1.723    up
alpha      Ch13-Ch12     +0.930      1.00      -1.797     2.503  down
alpha      Ch14-Ch13     +1.080      1.00      -2.824     3.256  down
alpha      Ch15-Ch14     +1.230      1.00      -2.666     3.204  down
beta       Ch1-Ch0       -0.865      0.71      -1.089     1.956  down
beta       Ch2-Ch1       -0.715      0.54      -1.071     1.874  down
beta       Ch3-Ch2       -0.565      0.60      -1.199     1.929  down
beta       Ch4-Ch3       -0.415      0.77      -1.028     2.291  down
beta       Ch5-Ch4       -0.265      0.40      -1.071     1.785  down
beta       Ch6-Ch5       -0.115      0.34      -1.318     1.836  down
beta       Ch13-Ch12     +0.930      1.00      -1.737     2.904  down
beta       Ch14-Ch13     +1.080      1.00      -2.045     3.989  down
beta       Ch15-Ch14     +1.230      1.00      -2.067     3.795  down
low_gamma  Ch13-Ch12     +0.930      0.78      -0.900     1.394  down
low_gamma  Ch14-Ch13     +1.080      0.76      -0.871     1.484  down
low_gamma  Ch15-Ch14     +1.230      0.73      -0.851     1.513  down
high_gamma Ch1-Ch0       -0.865      0.25      -0.782     1.184  down
high_gamma Ch3-Ch2       -0.565      0.25      -0.774     1.149  down
high_gamma Ch4-Ch3       -0.415      0.39      -0.943     1.399  down
high_gamma Ch13-Ch12     +0.930      0.82      -1.083     2.089  down
high_gamma Ch14-Ch13     +1.080      0.83      -1.206     2.436  down
high_gamma Ch15-Ch14     +1.230      0.82      -1.180     2.380  down
