# Lesion L4C_L4AB
# Significant band/channel combinations (>=25% of bins pass FDR<0.05)

band       channel        depth  frac_sig  med_log2FC   max_abs   dir
delta      Ch4-Ch3       -0.415      0.33      -1.228     1.745  down
delta      Ch6-Ch5       -0.115      0.33      -1.256     1.378  down
delta      Ch7-Ch6       +0.030      0.67      -1.178     2.530  down
delta      Ch10-Ch9      +0.480      0.67      +1.153     1.465    up
delta      Ch11-Ch10     +0.630      0.50      -0.932     1.695  down
delta      Ch12-Ch11     +0.780      1.00      -1.820     3.152  down
delta      Ch13-Ch12     +0.930      1.00      -1.095     2.212  down
delta      Ch14-Ch13     +1.080      0.67      -0.787     1.732  down
delta      Ch15-Ch14     +1.230      0.33      -1.174     1.716  down
theta      Ch1-Ch0       -0.865      0.62      -1.678     1.898  down
theta      Ch2-Ch1       -0.715      0.50      -1.625     1.750  down
theta      Ch3-Ch2       -0.565      0.50      -1.651     1.804  down
theta      Ch4-Ch3       -0.415      0.62      -1.701     1.943  down
theta      Ch5-Ch4       -0.265      0.75      -1.665     1.753  down
theta      Ch6-Ch5       -0.115      0.75      -1.601     2.000  down
theta      Ch7-Ch6       +0.030      1.00      -2.295     2.971  down
theta      Ch8-Ch7       +0.180      0.75      -0.005     2.007  down
theta      Ch9-Ch8       +0.330      0.62      -1.104     1.656  down
theta      Ch11-Ch10     +0.630      1.00      -2.289     2.498  down
theta      Ch12-Ch11     +0.780      1.00      -3.473     4.010  down
theta      Ch13-Ch12     +0.930      1.00      -1.960     2.474  down
theta      Ch14-Ch13     +1.080      0.75      -1.863     2.076  down
theta      Ch15-Ch14     +1.230      0.75      -1.881     2.082  down
alpha      Ch7-Ch6       +0.030      0.60      +1.080     1.479    up
alpha      Ch8-Ch7       +0.180      1.00      +2.462     2.587    up
alpha      Ch9-Ch8       +0.330      0.30      -0.842     0.850  down
alpha      Ch10-Ch9      +0.480      0.80      -1.734     2.733  down
alpha      Ch11-Ch10     +0.630      1.00      -3.148     4.255  down
alpha      Ch12-Ch11     +0.780      1.00      -2.171     2.626  down
alpha      Ch13-Ch12     +0.930      0.90      -1.196     1.282  down
alpha      Ch14-Ch13     +1.080      0.60      -0.856     0.886  down
alpha      Ch15-Ch14     +1.230      0.50      -0.862     0.911  down
beta       Ch4-Ch3       -0.415      0.26      -1.072     1.296  down
beta       Ch7-Ch6       +0.030      0.51      -0.949     1.600  down
beta       Ch9-Ch8       +0.330      0.49      -1.187     1.598  down
beta       Ch10-Ch9      +0.480      0.91      -1.169     2.713  down
beta       Ch11-Ch10     +0.630      1.00      -1.354     3.408  down
beta       Ch12-Ch11     +0.780      0.97      -1.446     3.096  down
beta       Ch13-Ch12     +0.930      0.77      -1.011     1.851  down
beta       Ch14-Ch13     +1.080      0.43      -0.995     1.525  down
beta       Ch15-Ch14     +1.230      0.37      -1.058     1.559  down
low_gamma  Ch7-Ch6       +0.030      0.32      +0.770     1.070    up
low_gamma  Ch10-Ch9      +0.480      0.46      -0.818     1.182  down
low_gamma  Ch11-Ch10     +0.630      0.46      -0.795     1.204  down
high_gamma Ch7-Ch6       +0.030      0.66      -1.473     2.082  down
high_gamma Ch10-Ch9      +0.480      0.98      -1.755     2.532  down
high_gamma Ch11-Ch10     +0.630      0.98      -1.951     2.639  down
high_gamma Ch12-Ch11     +0.780      1.00      -1.943     2.794  down
high_gamma Ch13-Ch12     +0.930      0.85      -0.990     1.593  down
