# Lesion L5_L6
# Significant band/channel combinations (>=25% of bins pass FDR<0.05)

band       channel        depth  frac_sig  med_log2FC   max_abs   dir
delta      Ch1-Ch0       -0.865      0.33      -0.832     0.906  down
delta      Ch2-Ch1       -0.715      0.83      -0.892     1.093  down
delta      Ch3-Ch2       -0.565      0.33      -0.881     0.940  down
theta      Ch1-Ch0       -0.865      0.50      +0.794     0.819    up
theta      Ch2-Ch1       -0.715      0.25      +0.807     0.819    up
theta      Ch4-Ch3       -0.415      0.25      +0.884     0.968    up
theta      Ch5-Ch4       -0.265      0.25      +0.877     0.943    up
theta      Ch6-Ch5       -0.115      0.50      +0.814     0.934    up
theta      Ch15-Ch14     +1.230      0.25      +0.763     0.836    up
alpha      Ch1-Ch0       -0.865      0.60      -1.828     2.662  down
alpha      Ch2-Ch1       -0.715      0.60      -1.967     2.777  down
alpha      Ch3-Ch2       -0.565      0.60      -1.773     2.550  down
alpha      Ch4-Ch3       -0.415      0.50      -0.950     1.379  down
alpha      Ch5-Ch4       -0.265      0.40      -1.768     2.336  down
alpha      Ch6-Ch5       -0.115      0.40      -1.732     2.487  down
alpha      Ch8-Ch7       +0.180      0.60      -1.258     2.401  down
alpha      Ch9-Ch8       +0.330      0.30      -2.001     2.459  down
alpha      Ch10-Ch9      +0.480      0.30      -1.463     2.004  down
alpha      Ch11-Ch10     +0.630      0.30      -1.749     2.145  down
alpha      Ch12-Ch11     +0.780      0.40      -1.756     2.244  down
alpha      Ch13-Ch12     +0.930      0.40      -1.524     1.889  down
alpha      Ch14-Ch13     +1.080      0.40      -1.276     1.558  down
alpha      Ch15-Ch14     +1.230      0.40      -1.266     1.552  down
beta       Ch1-Ch0       -0.865      0.94      -1.140     3.828  down
beta       Ch2-Ch1       -0.715      0.97      -1.218     3.984  down
beta       Ch3-Ch2       -0.565      0.86      -1.214     3.575  down
beta       Ch5-Ch4       -0.265      0.40      -1.564     3.238  down
beta       Ch6-Ch5       -0.115      0.43      -1.979     3.237  down
beta       Ch7-Ch6       +0.030      0.26      -1.332     1.952  down
beta       Ch8-Ch7       +0.180      0.54      -1.491     3.502  down
beta       Ch9-Ch8       +0.330      0.37      -2.199     3.089  down
beta       Ch10-Ch9      +0.480      0.26      -2.039     2.579  down
beta       Ch11-Ch10     +0.630      0.26      -2.401     3.006  down
beta       Ch12-Ch11     +0.780      0.34      -1.925     3.168  down
high_gamma Ch1-Ch0       -0.865      0.56      -0.864     1.414  down
high_gamma Ch2-Ch1       -0.715      0.73      -1.117     1.780  down
high_gamma Ch3-Ch2       -0.565      0.35      -0.811     1.283  down
