# Lesion L6_L4C
# Significant band/channel combinations (>=25% of bins pass FDR<0.05)

band       channel        depth  frac_sig  med_log2FC   max_abs   dir
delta      Ch1-Ch0       -0.865      0.33      -1.158     1.604  down
delta      Ch4-Ch3       -0.415      0.33      -1.328     1.664  down
delta      Ch5-Ch4       -0.265      0.50      -1.708     2.602  down
delta      Ch6-Ch5       -0.115      0.33      -0.732     0.864  down
delta      Ch7-Ch6       +0.030      0.50      -0.815     0.906  down
delta      Ch8-Ch7       +0.180      0.67      -0.952     1.202  down
delta      Ch11-Ch10     +0.630      0.50      -1.327     1.970  down
delta      Ch12-Ch11     +0.780      0.50      -1.291     2.079  down
delta      Ch13-Ch12     +0.930      0.33      -1.098     1.449  down
delta      Ch14-Ch13     +1.080      0.67      -0.755     1.334  down
delta      Ch15-Ch14     +1.230      0.33      -1.028     1.334  down
theta      Ch1-Ch0       -0.865      1.00      -2.539     3.783  down
theta      Ch2-Ch1       -0.715      1.00      -2.398     3.611  down
theta      Ch3-Ch2       -0.565      1.00      -2.354     3.633  down
theta      Ch4-Ch3       -0.415      1.00      -2.288     3.314  down
theta      Ch5-Ch4       -0.265      1.00      -3.388     4.154  down
theta      Ch6-Ch5       -0.115      1.00      -2.680     2.895  down
theta      Ch7-Ch6       +0.030      1.00      -2.330     2.905  down
theta      Ch8-Ch7       +0.180      1.00      -1.438     2.169  down
theta      Ch9-Ch8       +0.330      0.75      -1.343     1.539  down
theta      Ch10-Ch9      +0.480      1.00      -1.994     2.574  down
theta      Ch11-Ch10     +0.630      1.00      -2.879     3.462  down
theta      Ch12-Ch11     +0.780      1.00      -3.117     4.073  down
theta      Ch13-Ch12     +0.930      1.00      -2.360     3.469  down
theta      Ch14-Ch13     +1.080      1.00      -2.239     3.414  down
theta      Ch15-Ch14     +1.230      1.00      -2.271     3.451  down
alpha      Ch1-Ch0       -0.865      1.00      -1.870     2.723  down
alpha      Ch2-Ch1       -0.715      1.00      -1.591     2.167  down
alpha      Ch3-Ch2       -0.565      1.00      -1.662     2.484  down
alpha      Ch4-Ch3       -0.415      1.00      -2.236     2.879  down
alpha      Ch5-Ch4       -0.265      1.00      -3.586     4.195  down
alpha      Ch6-Ch5       -0.115      1.00      -3.212     5.135  down
alpha      Ch7-Ch6       +0.030      1.00      -1.634     2.153  down
alpha      Ch8-Ch7       +0.180      0.80      -2.024     3.702  down
alpha      Ch9-Ch8       +0.330      1.00      -2.028     4.751  down
alpha      Ch10-Ch9      +0.480      1.00      -2.132     3.918  down
alpha      Ch11-Ch10     +0.630      1.00      -2.833     4.064  down
alpha      Ch12-Ch11     +0.780      1.00      -3.145     4.357  down
alpha      Ch13-Ch12     +0.930      1.00      -2.106     3.390  down
alpha      Ch14-Ch13     +1.080      1.00      -1.914     2.923  down
alpha      Ch15-Ch14     +1.230      1.00      -1.889     2.917  down
beta       Ch1-Ch0       -0.865      0.97      -1.131     2.483  down
beta       Ch2-Ch1       -0.715      0.51      -1.269     1.909  down
beta       Ch3-Ch2       -0.565      0.63      -1.392     2.209  down
beta       Ch4-Ch3       -0.415      0.37      -1.485     2.918  down
beta       Ch5-Ch4       -0.265      1.00      -1.596     3.860  down
beta       Ch6-Ch5       -0.115      1.00      -2.046     6.102  down
beta       Ch7-Ch6       +0.030      0.97      -1.199     2.895  down
beta       Ch8-Ch7       +0.180      1.00      -1.953     3.933  down
beta       Ch9-Ch8       +0.330      1.00      -1.836     5.515  down
beta       Ch10-Ch9      +0.480      0.80      -1.202     4.518  down
beta       Ch11-Ch10     +0.630      1.00      -1.408     4.683  down
beta       Ch12-Ch11     +0.780      1.00      -1.611     4.375  down
beta       Ch13-Ch12     +0.930      0.86      -1.283     3.828  down
beta       Ch14-Ch13     +1.080      0.69      -1.203     3.485  down
beta       Ch15-Ch14     +1.230      0.74      -1.183     3.525  down
low_gamma  Ch6-Ch5       -0.115      0.51      -0.830     1.325  down
low_gamma  Ch8-Ch7       +0.180      0.73      -0.823     1.961  down
low_gamma  Ch9-Ch8       +0.330      0.63      -0.898     1.463  down
high_gamma Ch1-Ch0       -0.865      0.30      -0.768     1.271  down
high_gamma Ch5-Ch4       -0.265      0.72      -1.239     1.898  down
high_gamma Ch6-Ch5       -0.115      0.90      -1.266     2.000  down
high_gamma Ch8-Ch7       +0.180      0.86      -1.057     1.722  down
high_gamma Ch9-Ch8       +0.330      0.88      -1.242     1.813  down
high_gamma Ch10-Ch9      +0.480      0.25      -0.860     1.066  down
high_gamma Ch11-Ch10     +0.630      0.37      -0.902     1.164  down
high_gamma Ch12-Ch11     +0.780      0.71      -0.923     1.757  down
