lesion,band,channel,depth,frac_sig,median_log2fc,max_abs_log2fc,direction
L23_L5,delta,Ch1-Ch0,-0.865,1.000,-1.1327,1.3331,down
L23_L5,delta,Ch2-Ch1,-0.715,1.000,-1.1300,1.3974,down
L23_L5,delta,Ch3-Ch2,-0.565,1.000,-1.3296,1.5031,down
L23_L5,delta,Ch4-Ch3,-0.415,1.000,-2.0337,2.3665,down
L23_L5,delta,Ch7-Ch6,+0.030,0.333,+0.9391,1.0862,up
L23_L5,theta,Ch1-Ch0,-0.865,0.625,-0.6546,0.8354,down
L23_L5,theta,Ch2-Ch1,-0.715,0.625,-0.7541,0.9534,down
L23_L5,theta,Ch3-Ch2,-0.565,0.750,-0.9503,1.1503,down
L23_L5,theta,Ch4-Ch3,-0.415,1.000,-1.6077,1.9961,down
L23_L5,theta,Ch6-Ch5,-0.115,0.875,+1.1805,1.6582,up
L23_L5,theta,Ch7-Ch6,+0.030,0.750,+1.0495,1.2778,up
L23_L5,alpha,Ch1-Ch0,-0.865,0.500,+0.6959,1.1229,up
L23_L5,alpha,Ch2-Ch1,-0.715,0.300,-0.7280,1.1497,down
L23_L5,alpha,Ch4-Ch3,-0.415,0.600,-1.2187,1.7757,down
L23_L5,alpha,Ch6-Ch5,-0.115,0.600,+1.4555,1.8116,up
L23_L5,alpha,Ch7-Ch6,+0.030,0.800,+1.2781,1.7768,up
L23_L5,alpha,Ch11-Ch10,+0.630,0.300,+0.8539,1.4881,up
L23_L5,alpha,Ch12-Ch11,+0.780,0.400,+0.9609,1.0320,up
L23_L5,beta,Ch1-Ch0,-0.865,0.800,-0.9307,1.8027,down
L23_L5,beta,Ch2-Ch1,-0.715,0.743,-0.9430,1.9273,down
L23_L5,beta,Ch3-Ch2,-0.565,0.829,-0.9784,1.7797,down
L23_L5,beta,Ch4-Ch3,-0.415,0.800,-0.9105,1.7663,down
L23_L5,beta,Ch6-Ch5,-0.115,0.286,-1.3004,1.6957,down
L23_L5,beta,Ch8-Ch7,+0.180,0.257,-1.4827,1.6487,down
L23_L5,beta,Ch13-Ch12,+0.930,0.257,-0.9720,1.0909,down
L23_L5,low_gamma,Ch4-Ch3,-0.415,0.732,-1.0559,1.4055,down
L23_L5,low_gamma,Ch13-Ch12,+0.930,0.512,-0.9893,1.3949,down
L23_L5,low_gamma,Ch14-Ch13,+1.080,0.659,-0.9525,1.7002,down
L23_L5,low_gamma,Ch15-Ch14,+1.230,0.610,-0.9402,1.6636,down
L23_L5,high_gamma,Ch1-Ch0,-0.865,0.480,-0.8692,1.4109,down
L23_L5,high_gamma,Ch2-Ch1,-0.715,0.490,-0.9020,1.3788,down
L23_L5,high_gamma,Ch3-Ch2,-0.565,0.588,-0.9526,1.5755,down
L23_L5,high_gamma,Ch4-Ch3,-0.415,0.961,-1.1864,2.3887,down
L23_L5,high_gamma,Ch7-Ch6,+0.030,0.255,-0.8331,1.3060,down
L23_L5,high_gamma,Ch13-Ch12,+0.930,0.294,-0.9155,1.2945,down
L4AB_L23,delta,Ch10-Ch9,+0.480,1.000,+1.3211,3.0081,up
L4AB_L23,delta,Ch13-Ch12,+0.930,0.500,-0.7751,1.3217,down
L4AB_L23,delta,Ch14-Ch13,+1.080,0.833,-0.8298,1.2864,down
L4AB_L23,delta,Ch15-Ch14,+1.230,0.500,-0.9393,1.2660,down
L4AB_L23,theta,Ch10-Ch9,+0.480,0.875,+2.0853,3.1793,up
L4AB_L23,theta,Ch11-Ch10,+0.630,0.625,+1.8767,1.9784,up
L4AB_L23,theta,Ch13-Ch12,+0.930,0.375,-1.1245,1.2308,down
L4AB_L23,theta,Ch14-Ch13,+1.080,0.625,-0.8347,1.4220,down
L4AB_L23,theta,Ch15-Ch14,+1.230,0.625,-0.8079,1.4037,down
L4AB_L23,alpha,Ch4-Ch3,-0.415,0.300,-0.8595,0.9124,down
L4AB_L23,alpha,Ch10-Ch9,+0.480,0.600,+1.0422,1.2156,up
L4AB_L23,alpha,Ch13-Ch12,+0.930,0.800,-0.9319,1.0370,down
L4AB_L23,alpha,Ch14-Ch13,+1.080,1.000,-1.2313,1.4271,down
L4AB_L23,alpha,Ch15-Ch14,+1.230,1.000,-1.1888,1.3349,down
L4AB_L23,beta,Ch13-Ch12,+0.930,0.543,-1.0320,1.6471,down
L4AB_L23,beta,Ch14-Ch13,+1.080,0.743,-1.0627,1.7385,down
L4AB_L23,beta,Ch15-Ch14,+1.230,0.714,-1.0297,1.7364,down
L4AB_L23,high_gamma,Ch13-Ch12,+0.930,0.480,-0.8817,1.3619,down
L4AB_L23,high_gamma,Ch14-Ch13,+1.080,0.598,-1.0146,1.8562,down
L4AB_L23,high_gamma,Ch15-Ch14,+1.230,0.588,-0.9797,1.8065,down
L4C_L23,delta,Ch1-Ch0,-0.865,0.667,-0.8478,1.1432,down
L4C_L23,delta,Ch2-Ch1,-0.715,0.667,-0.7780,1.1038,down
L4C_L23,delta,Ch3-Ch2,-0.565,0.667,-0.9203,1.0748,down
L4C_L23,delta,Ch4-Ch3,-0.415,0.833,-0.8916,1.1540,down
L4C_L23,delta,Ch9-Ch8,+0.330,0.500,+2.1196,2.1577,up
L4C_L23,delta,Ch10-Ch9,+0.480,1.000,+2.4451,3.4193,up
L4C_L23,delta,Ch11-Ch10,+0.630,1.000,+1.4772,2.0120,up
L4C_L23,delta,Ch13-Ch12,+0.930,1.000,-1.4274,1.5208,down
L4C_L23,delta,Ch14-Ch13,+1.080,1.000,-1.4329,1.5655,down
L4C_L23,delta,Ch15-Ch14,+1.230,1.000,-1.3710,1.5310,down
L4C_L23,theta,Ch1-Ch0,-0.865,0.875,-1.1868,1.6671,down
L4C_L23,theta,Ch2-Ch1,-0.715,0.875,-1.1388,1.5628,down
L4C_L23,theta,Ch3-Ch2,-0.565,0.875,-1.2499,1.7386,down
L4C_L23,theta,Ch4-Ch3,-0.415,0.875,-1.4761,2.2011,down
L4C_L23,theta,Ch5-Ch4,-0.265,0.250,-1.0205,1.0834,down
L4C_L23,theta,Ch6-Ch5,-0.115,0.375,+1.1357,1.1911,up
L4C_L23,theta,Ch9-Ch8,+0.330,1.000,+2.1580,2.3776,up
L4C_L23,theta,Ch10-Ch9,+0.480,1.000,+2.5582,3.4774,up
L4C_L23,theta,Ch11-Ch10,+0.630,1.000,+1.6597,2.1189,up
L4C_L23,theta,Ch13-Ch12,+0.930,1.000,-1.8645,2.5534,down
L4C_L23,theta,Ch14-Ch13,+1.080,1.000,-2.3707,3.3113,down
L4C_L23,theta,Ch15-Ch14,+1.230,1.000,-2.3337,3.2828,down
L4C_L23,alpha,Ch1-Ch0,-0.865,0.400,-1.1671,1.3356,down
L4C_L23,alpha,Ch2-Ch1,-0.715,0.400,-1.0767,1.2416,down
L4C_L23,alpha,Ch3-Ch2,-0.565,0.400,-1.3150,1.5308,down
L4C_L23,alpha,Ch4-Ch3,-0.415,1.000,-1.3886,2.0834,down
L4C_L23,alpha,Ch9-Ch8,+0.330,0.900,+1.6365,2.0157,up
L4C_L23,alpha,Ch10-Ch9,+0.480,0.900,+1.9414,2.2289,up
L4C_L23,alpha,Ch11-Ch10,+0.630,0.900,+1.4580,1.7226,up
L4C_L23,alpha,Ch13-Ch12,+0.930,1.000,-1.7965,2.5028,down
L4C_L23,alpha,Ch14-Ch13,+1.080,1.000,-2.8237,3.2559,down
L4C_L23,alpha,Ch15-Ch14,+1.230,1.000,-2.6663,3.2044,down
L4C_L23,beta,Ch1-Ch0,-0.865,0.714,-1.0894,1.9558,down
L4C_L23,beta,Ch2-Ch1,-0.715,0.543,-1.0710,1.8738,down
L4C_L23,beta,Ch3-Ch2,-0.565,0.600,-1.1985,1.9287,down
L4C_L23,beta,Ch4-Ch3,-0.415,0.771,-1.0276,2.2911,down
L4C_L23,beta,Ch5-Ch4,-0.265,0.400,-1.0709,1.7847,down
L4C_L23,beta,Ch6-Ch5,-0.115,0.343,-1.3178,1.8361,down
L4C_L23,beta,Ch13-Ch12,+0.930,1.000,-1.7371,2.9041,down
