# Lesion L23_L5 -- residual peaks/troughs
# Local extrema of (log2FC - smooth baseline) that lie inside cluster-significant bins.
# Sign +1 = focal power increase on top of baseline.
# Sign -1 = focal power decrease on top of baseline.

sign      channel   depth  freq(Hz)   log2FC  baseline  residual  prominence
   +      Ch3-Ch2  -0.565     90.94   -1.057    -1.226    +0.169       1.035
   +      Ch3-Ch2  -0.565     73.24   -1.013    -1.017    +0.005       0.911
   +      Ch4-Ch3  -0.415     10.38   -1.293    -1.733    +0.440       0.895
   +      Ch3-Ch2  -0.565      1.83   -1.257    -1.720    +0.463       0.845
   +      Ch3-Ch2  -0.565      6.71   -2.227    -2.280    +0.052       0.778
   +      Ch6-Ch5  -0.115      4.27   +0.964    +0.402    +0.562       0.747
   +      Ch4-Ch3  -0.415      6.71   -2.050    -2.316    +0.266       0.704
   +      Ch4-Ch3  -0.415     14.04   -1.348    -1.176    -0.172       0.669
   +      Ch4-Ch3  -0.415      4.27   -1.885    -2.304    +0.419       0.419
   -      Ch1-Ch0  -0.865     14.65   -2.664    -0.814    -1.849       3.086
   -      Ch2-Ch1  -0.715     14.65   -2.727    -0.848    -1.879       3.056
   -      Ch9-Ch8  +0.330     14.65   -1.769    +0.066    -1.835       2.751
   -      Ch7-Ch6  +0.030     14.65   -1.749    -0.471    -1.278       2.318
   -      Ch3-Ch2  -0.565     15.87   -2.265    -1.144    -1.120       2.126
   -      Ch8-Ch7  +0.180     14.65   -1.557    -0.249    -1.308       2.123
   -      Ch4-Ch3  -0.415     86.06   -1.906    -0.926    -0.981       1.785
   -      Ch6-Ch5  -0.115     14.65   -1.606    -0.464    -1.143       1.750
   -      Ch4-Ch3  -0.415     12.82   -2.296    -1.258    -1.038       1.585
   -      Ch7-Ch6  +0.030     93.38   -1.907    -0.597    -1.310       1.553
   -      Ch3-Ch2  -0.565     71.41   -2.116    -1.017    -1.098       1.458
   -      Ch3-Ch2  -0.565     84.84   -2.231    -1.173    -1.058       1.274
   -      Ch3-Ch2  -0.565      8.54   -2.280    -1.554    -0.726       1.189
   -      Ch3-Ch2  -0.565     29.91   -1.463    -0.736    -0.727       0.986
   -      Ch4-Ch3  -0.415      5.49   -2.794    -2.339    -0.455       0.895
   -      Ch4-Ch3  -0.415     23.19   -1.232    -0.814    -0.418       0.778
   -      Ch3-Ch2  -0.565      5.49   -3.393    -2.667    -0.726       0.778
   -      Ch3-Ch2  -0.565     97.66   -1.768    -1.360    -0.408       0.757
   -      Ch4-Ch3  -0.415      9.16   -2.316    -1.879    -0.437       0.704
   -      Ch4-Ch3  -0.415     15.26   -1.937    -1.096    -0.841       0.669
   -      Ch4-Ch3  -0.415      3.66   -2.262    -2.262    +0.000       0.419
