# Lesion L4AB_L23
# Cluster permutation test, n_perm=1000, forming p<0.01, alpha=0.05
# Channels connectivity: off (per-channel)

## Surviving clusters
 id sign               channels   f_range (Hz) n_bins       mass        p  med_log2FC
  1    -                Ch3-Ch2    3.1-   4.9      4      -20.3   0.0040      -1.299
  2    -                Ch3-Ch2    9.8-  11.6      4      -16.4   0.0070      -1.435
  3    -                Ch4-Ch3    7.3-   8.5      3      -12.5   0.0190      -1.616
  4    -                Ch4-Ch3    9.8-  12.8      6      -26.7   0.0020      -1.458
  5    -               Ch10-Ch9    5.5-  10.4      9      -44.2   0.0020      -1.785
  6    -               Ch10-Ch9   15.3-  16.5      3      -17.6   0.0060      -1.853
  7    -               Ch10-Ch9   18.9-  21.4      5      -20.9   0.0040      -1.221
  8    -              Ch11-Ch10    5.5-  11.6     11      -56.4   0.0020      -1.698
  9    -              Ch11-Ch10   15.9-  16.5      2      -14.4   0.0100      -1.920
 10    -              Ch11-Ch10   18.3-  21.4      6      -23.3   0.0030      -1.191
 11    -              Ch13-Ch12    3.1-  36.6     56     -375.3   0.0010      -2.317
 12    -              Ch13-Ch12   38.5-  39.7      3      -14.6   0.0090      -1.364
 13    -              Ch13-Ch12   90.9-  98.3     13      -49.6   0.0020      -1.166
 14    -              Ch14-Ch13    3.1-  32.3     49     -357.5   0.0010      -2.543
 15    -              Ch14-Ch13   33.6-  37.2      7      -29.8   0.0020      -1.612
 16    -              Ch14-Ch13   38.5-  39.7      3      -13.4   0.0150      -1.288
 17    -              Ch14-Ch13   90.9-  94.6      7      -25.9   0.0020      -1.166
 18    -              Ch14-Ch13   95.8-  99.5      7      -28.9   0.0020      -1.300
 19    -              Ch15-Ch14    3.7-   6.1      5      -41.0   0.0020      -2.284
 20    -              Ch15-Ch14    7.3-  10.4      6      -38.8   0.0020      -2.119
 21    -              Ch15-Ch14   14.0-  17.1      6      -34.6   0.0020      -1.740
 22    -              Ch15-Ch14   18.9-  30.5     20      -98.6   0.0010      -1.686
 23    -              Ch15-Ch14   31.7-  39.7     14      -56.8   0.0020      -1.380
 24    -              Ch15-Ch14   41.5-  42.7      3      -10.2   0.0460      -1.094

## Sig channels per band (>=25% bins inside cluster)
band       channel        depth  frac_sig  med_log2FC   dir
delta      Ch3-Ch2       -0.565      0.40      -1.381  down
delta      Ch13-Ch12     +0.930      0.40      -1.735  down
delta      Ch14-Ch13     +1.080      0.40      -1.750  down
theta      Ch3-Ch2       -0.565      0.29      -1.299  down
theta      Ch4-Ch3       -0.415      0.29      -1.645  down
theta      Ch10-Ch9      +0.480      0.71      -1.644  down
theta      Ch11-Ch10     +0.630      0.71      -1.698  down
theta      Ch13-Ch12     +0.930      1.00      -2.220  down
theta      Ch14-Ch13     +1.080      1.00      -2.233  down
theta      Ch15-Ch14     +1.230      0.86      -2.123  down
alpha      Ch3-Ch2       -0.565      0.50      -1.435  down
alpha      Ch4-Ch3       -0.415      0.88      -1.405  down
alpha      Ch10-Ch9      +0.480      0.50      -2.248  down
alpha      Ch11-Ch10     +0.630      0.75      -2.138  down
alpha      Ch13-Ch12     +0.930      1.00      -2.762  down
alpha      Ch14-Ch13     +1.080      1.00      -2.720  down
alpha      Ch15-Ch14     +1.230      0.50      -2.264  down
beta       Ch10-Ch9      +0.480      0.29      -1.260  down
beta       Ch11-Ch10     +0.630      0.29      -1.198  down
beta       Ch13-Ch12     +0.930      1.00      -2.615  down
beta       Ch14-Ch13     +1.080      1.00      -2.771  down
beta       Ch15-Ch14     +1.230      0.89      -1.712  down
low_gamma  Ch13-Ch12     +0.930      0.44      -1.468  down
low_gamma  Ch14-Ch13     +1.080      0.44      -1.517  down
low_gamma  Ch15-Ch14     +1.230      0.56      -1.372  down
