# Lesion L4AB_L23 -- residual peaks/troughs
# Local extrema of (log2FC - smooth baseline) that lie inside cluster-significant bins.
# Sign +1 = focal power increase on top of baseline.
# Sign -1 = focal power decrease on top of baseline.

sign      channel   depth  freq(Hz)   log2FC  baseline  residual  prominence
   +    Ch13-Ch12  +0.930     17.70   -2.303    -2.662    +0.359       1.331
   +    Ch14-Ch13  +1.080     18.31   -2.380    -2.617    +0.236       1.290
   +    Ch13-Ch12  +0.930      6.71   -1.827    -2.513    +0.687       1.215
   +    Ch14-Ch13  +1.080     95.83   -0.762    -0.762    +0.000       1.049
   +    Ch14-Ch13  +1.080     12.21   -2.332    -2.937    +0.605       1.032
   +    Ch13-Ch12  +0.930     12.21   -2.311    -2.901    +0.590       0.990
   +    Ch14-Ch13  +1.080      6.71   -1.806    -2.494    +0.688       0.979
   +    Ch14-Ch13  +1.080     22.58   -2.497    -2.488    -0.009       0.943
   +    Ch14-Ch13  +1.080     30.52   -1.353    -1.450    +0.097       0.938
   +    Ch13-Ch12  +0.930     95.21   -0.770    -0.614    -0.156       0.913
   +    Ch15-Ch14  +1.230     24.41   -1.159    -1.519    +0.360       0.903
   +    Ch13-Ch12  +0.930     22.58   -2.315    -2.279    -0.035       0.842
   +    Ch13-Ch12  +0.930      3.05   -1.092    -1.650    +0.557       0.740
   +    Ch13-Ch12  +0.930     30.52   -1.425    -1.444    +0.019       0.735
   +    Ch14-Ch13  +1.080      9.16   -2.092    -2.647    +0.554       0.708
   +    Ch14-Ch13  +1.080      3.05   -1.136    -1.619    +0.483       0.705
   +    Ch13-Ch12  +0.930      9.16   -2.172    -2.682    +0.510       0.689
   +    Ch15-Ch14  +1.230     21.36   -1.427    -1.590    +0.163       0.681
   +    Ch15-Ch14  +1.230     32.96   -1.312    -1.246    -0.066       0.575
   +      Ch4-Ch3  -0.415     11.60   -1.156    -1.092    -0.064       0.475
   -    Ch15-Ch14  +1.230     27.47   -2.636    -1.380    -1.256       2.377
   -    Ch15-Ch14  +1.230      9.77   -2.816    -1.709    -1.107       2.183
   -    Ch11-Ch10  +0.630     10.38   -2.742    -1.590    -1.152       2.146
   -     Ch10-Ch9  +0.480      9.77   -2.685    -1.595    -1.090       1.965
   -    Ch15-Ch14  +1.230     16.48   -2.679    -1.648    -1.031       1.810
   -    Ch14-Ch13  +1.080     15.87   -3.955    -2.857    -1.097       1.785
   -    Ch13-Ch12  +0.930     19.53   -3.469    -2.378    -1.090       1.777
   -    Ch15-Ch14  +1.230      4.88   -2.864    -1.962    -0.901       1.671
   -    Ch11-Ch10  +0.630     16.48   -2.059    -1.104    -0.955       1.647
   -     Ch10-Ch9  +0.480     16.48   -2.049    -1.095    -0.954       1.548
   -      Ch3-Ch2  -0.565     10.38   -1.702    -0.991    -0.711       1.372
   -    Ch13-Ch12  +0.930     15.87   -3.835    -2.864    -0.972       1.331
   -    Ch14-Ch13  +1.080     19.53   -3.634    -2.581    -1.053       1.290
   -      Ch3-Ch2  -0.565      3.66   -1.785    -1.067    -0.717       1.166
   -    Ch15-Ch14  +1.230     36.62   -1.756    -1.041    -0.715       1.127
   -    Ch13-Ch12  +0.930      4.88   -2.749    -2.220    -0.528       1.086
   -    Ch14-Ch13  +1.080     10.38   -3.178    -2.750    -0.427       1.032
   -    Ch13-Ch12  +0.930     10.38   -3.194    -2.794    -0.400       0.990
   -    Ch14-Ch13  +1.080     27.47   -2.741    -1.788    -0.952       0.943
   -    Ch14-Ch13  +1.080     36.01   -1.888    -1.047    -0.841       0.938
   -    Ch15-Ch14  +1.230     21.97   -2.128    -1.584    -0.544       0.903
   -    Ch14-Ch13  +1.080     97.66   -1.876    -0.792    -1.084       0.880
   -    Ch11-Ch10  +0.630     20.14   -1.568    -0.931    -0.637       0.875
   -    Ch13-Ch12  +0.930     27.47   -2.556    -1.678    -0.877       0.842
   -      Ch4-Ch3  -0.415     12.82   -1.511    -0.897    -0.614       0.773
   -    Ch14-Ch13  +1.080      4.88   -2.523    -2.233    -0.291       0.773
   -    Ch13-Ch12  +0.930     36.01   -1.794    -1.078    -0.716       0.735
   -    Ch13-Ch12  +0.930     23.80   -3.024    -2.167    -0.857       0.733
   -    Ch13-Ch12  +0.930     92.77   -1.638    -0.614    -1.024       0.726
   -    Ch14-Ch13  +1.080      7.93   -2.677    -2.523    -0.153       0.708
   -    Ch13-Ch12  +0.930      7.93   -2.714    -2.535    -0.179       0.689
   -    Ch14-Ch13  +1.080     31.74   -1.976    -1.353    -0.623       0.683
   -    Ch15-Ch14  +1.230     19.53   -2.103    -1.584    -0.518       0.681
   -      Ch4-Ch3  -0.415      7.93   -1.675    -1.199    -0.475       0.654
   -     Ch10-Ch9  +0.480     20.14   -1.486    -0.988    -0.498       0.623
   -    Ch14-Ch13  +1.080     23.80   -3.208    -2.405    -0.803       0.602
   -    Ch15-Ch14  +1.230     32.35   -1.900    -1.258    -0.641       0.575
   -    Ch13-Ch12  +0.930     31.74   -1.880    -1.364    -0.516       0.531
   -      Ch4-Ch3  -0.415     10.99   -1.696    -1.156    -0.540       0.475
   -    Ch15-Ch14  +1.230     42.11   -1.254    -0.813    -0.441       0.441
