# Lesion L4C_L23 -- residual peaks/troughs
# Local extrema of (log2FC - smooth baseline) that lie inside cluster-significant bins.
# Sign +1 = focal power increase on top of baseline.
# Sign -1 = focal power decrease on top of baseline.

sign      channel   depth  freq(Hz)   log2FC  baseline  residual  prominence
   +    Ch15-Ch14  +1.230     10.99   -2.435    -3.673    +1.238       1.661
   +    Ch14-Ch13  +1.080      4.27   -1.562    -2.924    +1.362       1.617
   +    Ch13-Ch12  +0.930      4.27   -1.624    -3.032    +1.408       1.608
   +    Ch15-Ch14  +1.230     32.96   -1.606    -1.733    +0.127       1.267
   +    Ch13-Ch12  +0.930     17.09   -3.620    -3.731    +0.111       1.244
   +    Ch14-Ch13  +1.080     17.09   -4.044    -4.111    +0.067       1.202
   +    Ch15-Ch14  +1.230      4.27   -1.800    -2.586    +0.786       1.150
   +      Ch4-Ch3  -0.415      4.27   -0.845    -1.558    +0.713       1.132
   +    Ch13-Ch12  +0.930     21.36   -3.263    -3.251    -0.013       1.103
   +    Ch15-Ch14  +1.230      6.71   -2.588    -3.268    +0.680       1.099
   +    Ch14-Ch13  +1.080     21.36   -3.573    -3.550    -0.023       1.069
   +    Ch15-Ch14  +1.230     21.36   -3.022    -3.260    +0.238       1.061
   +    Ch13-Ch12  +0.930     36.62   -1.122    -1.106    -0.016       1.045
   +    Ch14-Ch13  +1.080      9.16   -3.741    -4.554    +0.813       0.917
   +    Ch14-Ch13  +1.080     36.62   -1.278    -1.146    -0.132       0.895
   +     Ch10-Ch9  +0.480      6.10   -0.988    -1.271    +0.283       0.880
   +    Ch13-Ch12  +0.930      9.16   -3.655    -4.292    +0.637       0.867
   +    Ch13-Ch12  +0.930     26.25   -2.260    -2.221    -0.039       0.812
   +    Ch14-Ch13  +1.080     30.52   -2.220    -1.939    -0.281       0.784
   +      Ch3-Ch2  -0.565      4.27   -0.815    -1.571    +0.756       0.756
   +    Ch11-Ch10  +0.630      6.10   -1.105    -1.346    +0.241       0.728
   +    Ch15-Ch14  +1.230     17.70   -3.304    -3.383    +0.079       0.726
   +    Ch14-Ch13  +1.080     26.25   -2.776    -2.479    -0.297       0.700
   +     Ch10-Ch9  +0.480     23.19   -1.005    -1.138    +0.134       0.686
   +     Ch10-Ch9  +0.480     15.87   -1.029    -1.263    +0.234       0.662
   +      Ch3-Ch2  -0.565      9.16   -1.641    -1.489    -0.151       0.640
   +    Ch15-Ch14  +1.230     29.30   -2.150    -1.917    -0.232       0.636
   +    Ch13-Ch12  +0.930     86.06   -0.739    -0.824    +0.085       0.623
   +    Ch13-Ch12  +0.930     14.04   -4.411    -4.168    -0.244       0.623
   +    Ch13-Ch12  +0.930     32.35   -1.715    -1.522    -0.193       0.608
   +    Ch14-Ch13  +1.080     14.04   -4.822    -4.502    -0.321       0.529
   +    Ch15-Ch14  +1.230     40.28   -1.321    -1.139    -0.182       0.528
   +    Ch11-Ch10  +0.630     15.87   -0.952    -1.265    +0.312       0.524
   +    Ch15-Ch14  +1.230     24.41   -2.942    -2.861    -0.081       0.456
   +    Ch14-Ch13  +1.080     86.06   -0.923    -0.834    -0.089       0.435
   +    Ch14-Ch13  +1.080     12.21   -4.513    -4.536    +0.023       0.418
   -    Ch14-Ch13  +1.080     15.26   -5.822    -4.341    -1.481       2.617
   -      Ch9-Ch8  +0.330     14.65   -1.779    +0.072    -1.851       2.522
   -    Ch15-Ch14  +1.230     27.47   -3.604    -2.287    -1.317       2.462
   -      Ch8-Ch7  +0.180     15.26   -1.913    -0.213    -1.700       2.419
   -    Ch13-Ch12  +0.930     15.26   -5.441    -4.045    -1.396       2.392
   -      Ch1-Ch0  -0.865     15.26   -1.715    -0.394    -1.322       2.281
   -      Ch6-Ch5  -0.115     14.65   -1.779    -0.419    -1.360       2.269
