# Lesion L4C_L4AB -- residual peaks/troughs
# Local extrema of (log2FC - smooth baseline) that lie inside cluster-significant bins.
# Sign +1 = focal power increase on top of baseline.
# Sign -1 = focal power decrease on top of baseline.

sign      channel   depth  freq(Hz)   log2FC  baseline  residual  prominence
   +     Ch10-Ch9  +0.480      6.71   +1.315    +0.130    +1.186       2.071
   +    Ch11-Ch10  +0.630      6.71   +1.278    +0.149    +1.129       2.021
   +    Ch12-Ch11  +0.780     10.38   -1.442    -1.673    +0.231       1.062
   +      Ch7-Ch6  +0.030     13.43   -1.240    -1.987    +0.747       0.942
   +      Ch7-Ch6  +0.030     21.97   -1.460    -1.494    +0.034       0.874
   +    Ch12-Ch11  +0.780     30.52   -0.865    -0.980    +0.115       0.828
   +    Ch12-Ch11  +0.780     15.87   -1.622    -1.561    -0.061       0.744
   +    Ch14-Ch13  +1.080     21.36   -1.112    -1.250    +0.138       0.729
   +    Ch12-Ch11  +0.780     20.14   -1.145    -1.391    +0.246       0.725
   +    Ch13-Ch12  +0.930     15.87   -1.044    -1.253    +0.209       0.720
   +    Ch14-Ch13  +1.080     15.87   -1.111    -1.352    +0.240       0.694
   +     Ch10-Ch9  +0.480     21.97   -1.154    -1.156    +0.002       0.668
   +    Ch12-Ch11  +0.780     13.43   -1.391    -1.580    +0.189       0.616
   +    Ch13-Ch12  +0.930     21.36   -1.111    -1.197    +0.086       0.575
   +    Ch12-Ch11  +0.780     81.18   -1.186    -0.986    -0.200       0.562
   +     Ch10-Ch9  +0.480     90.33   -1.219    -1.068    -0.150       0.521
   +    Ch14-Ch13  +1.080     25.63   -1.280    -1.189    -0.091       0.460
   +      Ch7-Ch6  +0.030     17.70   -2.065    -1.772    -0.293       0.426
   +      Ch9-Ch8  +0.330     15.87   -1.197    -0.565    -0.632       0.423
   +    Ch13-Ch12  +0.930     26.25   -1.222    -1.177    -0.045       0.404
   -    Ch15-Ch14  +1.230      4.88   -3.141    -0.685    -2.456       3.377
   -      Ch7-Ch6  +0.030     15.26   -3.374    -1.873    -1.501       2.756
   -      Ch7-Ch6  +0.030      4.88   -2.340    -0.196    -2.144       2.527
   -    Ch12-Ch11  +0.780      4.88   -3.512    -1.536    -1.976       2.417
   -    Ch12-Ch11  +0.780      9.16   -2.859    -1.673    -1.187       2.167
   -    Ch13-Ch12  +0.930      4.88   -2.334    -0.512    -1.822       2.145
   -    Ch15-Ch14  +1.230      9.77   -1.807    -0.603    -1.204       2.116
   -     Ch10-Ch9  +0.480     76.90   -2.271    -0.988    -1.284       2.079
   -      Ch6-Ch5  -0.115      4.88   -2.342    -0.786    -1.556       2.077
   -    Ch14-Ch13  +1.080      4.88   -2.389    -0.591    -1.798       2.075
   -      Ch4-Ch3  -0.415      9.77   -1.511    -0.518    -0.993       1.969
   -      Ch3-Ch2  -0.565      4.88   -2.052    -0.293    -1.759       1.963
   -    Ch13-Ch12  +0.930     19.53   -1.963    -1.120    -0.843       1.887
   -    Ch12-Ch11  +0.780     71.41   -2.002    -0.908    -1.094       1.742
   -      Ch8-Ch7  +0.180     19.53   -1.776    -0.699    -1.077       1.726
   -    Ch11-Ch10  +0.630     24.41   -1.770    -0.997    -0.773       1.676
   -      Ch4-Ch3  -0.415      4.88   -1.773    -0.649    -1.124       1.652
   -      Ch9-Ch8  +0.330     16.48   -1.611    -0.542    -1.069       1.634
   -    Ch11-Ch10  +0.630     76.90   -1.749    -0.740    -1.009       1.601
   -      Ch8-Ch7  +0.180      4.27   -1.738    -0.390    -1.348       1.554
   -     Ch10-Ch9  +0.480     24.41   -1.964    -1.154    -0.810       1.534
