# Lesion L6_L4C -- residual peaks/troughs
# Local extrema of (log2FC - smooth baseline) that lie inside cluster-significant bins.
# Sign +1 = focal power increase on top of baseline.
# Sign -1 = focal power decrease on top of baseline.

sign      channel   depth  freq(Hz)   log2FC  baseline  residual  prominence
   +      Ch6-Ch5  -0.115      9.16   -1.033    -2.448    +1.415       2.432
   +      Ch9-Ch8  +0.330      9.16   -2.492    -3.833    +1.341       2.408
   +    Ch14-Ch13  +1.080      7.93   -1.036    -1.806    +0.770       1.813
   +    Ch13-Ch12  +0.930      7.93   -1.010    -1.759    +0.749       1.769
   +      Ch9-Ch8  +0.330      3.66   -2.078    -3.982    +1.904       1.751
   +      Ch6-Ch5  -0.115     15.87   -1.627    -1.627    +0.000       1.274
   +      Ch9-Ch8  +0.330     20.75   -1.091    -1.638    +0.547       1.223
   +      Ch6-Ch5  -0.115      4.27   -1.575    -2.530    +0.955       1.125
   +      Ch5-Ch4  -0.265      3.66   -2.585    -3.413    +0.828       0.899
   +      Ch8-Ch7  +0.180     14.04   -1.125    -1.128    +0.003       0.838
   +      Ch9-Ch8  +0.330     18.31   -2.285    -1.725    -0.560       0.715
   +      Ch9-Ch8  +0.330     97.05   -0.967    -1.363    +0.395       0.689
   +      Ch9-Ch8  +0.330     68.97   -1.424    -1.191    -0.233       0.651
   +      Ch9-Ch8  +0.330     83.01   -1.328    -1.245    -0.083       0.589
   +      Ch7-Ch6  +0.030     14.65   -1.186    -0.849    -0.337       0.583
   +      Ch8-Ch7  +0.180     29.30   -0.929    -0.925    -0.003       0.526
   +      Ch5-Ch4  -0.265      6.10   -3.413    -2.654    -0.758       0.524
   +    Ch12-Ch11  +0.780     10.38   -1.097    -1.376    +0.279       0.518
   +      Ch9-Ch8  +0.330     24.41   -1.189    -1.477    +0.289       0.516
   +      Ch5-Ch4  -0.265      7.32   -2.724    -2.019    -0.705       0.490
   +      Ch8-Ch7  +0.180     32.96   -0.922    -0.864    -0.058       0.443
   +      Ch8-Ch7  +0.180     16.48   -1.003    -1.139    +0.136       0.423
   -      Ch9-Ch8  +0.330     14.04   -5.410    -2.622    -2.787       4.099
   -    Ch12-Ch11  +0.780     14.65   -2.938    -0.999    -1.940       2.912
   -    Ch14-Ch13  +1.080      5.49   -3.116    -1.497    -1.619       2.475
   -    Ch13-Ch12  +0.930      5.49   -3.094    -1.494    -1.600       2.454
   -    Ch15-Ch14  +1.230      5.49   -2.894    -1.384    -1.510       2.442
   -      Ch9-Ch8  +0.330      4.88   -4.821    -3.753    -1.067       2.408
   -      Ch5-Ch4  -0.265     19.53   -1.800    -0.547    -1.253       2.299
   -      Ch6-Ch5  -0.115     14.65   -3.266    -1.653    -1.613       2.291
   -      Ch3-Ch2  -0.565      5.49   -2.582    -1.052    -1.530       2.237
   -    Ch11-Ch10  +0.630      4.88   -3.071    -1.560    -1.511       2.220
   -      Ch5-Ch4  -0.265      4.88   -4.798    -3.413    -1.385       2.213
   -      Ch7-Ch6  +0.030      5.49   -2.156    -0.932    -1.224       2.136
   -      Ch8-Ch7  +0.180     12.82   -2.370    -1.139    -1.231       2.022
   -      Ch4-Ch3  -0.415      5.49   -2.900    -1.391    -1.509       1.987
   -    Ch12-Ch11  +0.780      5.49   -1.705    -1.097    -0.607       1.984
   -      Ch6-Ch5  -0.115      5.49   -3.378    -2.360    -1.017       1.973
   -      Ch9-Ch8  +0.330     80.57   -2.379    -1.236    -1.143       1.962
   -     Ch10-Ch9  +0.480      4.88   -2.933    -1.552    -1.380       1.927
   -      Ch7-Ch6  +0.030     12.82   -1.799    -0.846    -0.953       1.870
   -     Ch10-Ch9  +0.480     14.04   -1.896    -0.854    -1.042       1.814
   -    Ch14-Ch13  +1.080     14.65   -2.315    -1.272    -1.043       1.813
   -    Ch13-Ch12  +0.930     14.65   -2.316    -1.296    -1.020       1.769
   -    Ch15-Ch14  +1.230     14.04   -2.270    -1.372    -0.898       1.659
   -    Ch12-Ch11  +0.780     71.41   -1.269    -0.493    -0.775       1.608
   -    Ch11-Ch10  +0.630     14.04   -1.614    -0.797    -0.816       1.548
   -      Ch8-Ch7  +0.180      5.49   -1.759    -1.042    -0.717       1.468
   -      Ch8-Ch7  +0.180     53.10   -1.708    -0.829    -0.879       1.447
   -      Ch9-Ch8  +0.330     46.39   -1.751    -1.104    -0.647       1.434
   -      Ch6-Ch5  -0.115     19.53   -2.373    -1.099    -1.274       1.274
   -      Ch1-Ch0  -0.865      4.88   -1.739    -0.948    -0.791       1.260
   -      Ch8-Ch7  +0.180     28.08   -1.732    -0.960    -0.772       1.251
   -      Ch9-Ch8  +0.330     33.57   -1.668    -0.991    -0.677       1.223
   -      Ch9-Ch8  +0.330     72.02   -2.237    -1.182    -1.055       1.185
   -      Ch9-Ch8  +0.330     39.67   -1.625    -0.997    -0.628       1.179
   -      Ch8-Ch7  +0.180     70.80   -1.709    -0.844    -0.866       1.139
   -    Ch11-Ch10  +0.630     19.53   -1.394    -0.792    -0.602       1.095
   -    Ch12-Ch11  +0.780     28.08   -1.365    -0.607    -0.758       0.903
   -      Ch8-Ch7  +0.180     34.18   -1.620    -0.862    -0.758       0.889
   -      Ch9-Ch8  +0.330     59.81   -1.410    -1.172    -0.238       0.860
   -      Ch9-Ch8  +0.330     28.08   -1.911    -1.280    -0.631       0.856
   -      Ch8-Ch7  +0.180     15.26   -1.961    -1.125    -0.836       0.838
   -      Ch2-Ch1  -0.715      4.88   -1.450    -0.788    -0.662       0.766
   -    Ch13-Ch12  +0.930     19.53   -1.604    -1.055    -0.549       0.738
   -    Ch15-Ch14  +1.230      9.77   -2.476    -1.845    -0.630       0.719
   -      Ch9-Ch8  +0.330     19.53   -2.959    -1.685    -1.274       0.715
