# Lesion L4AB_L23
# Significant band/channel combinations (>=25% of bins pass FDR<0.05)

band       channel        depth  frac_sig  med_log2FC   max_abs   dir
delta      Ch3-Ch2       -0.565      0.40      -1.381     1.785  down
delta      Ch13-Ch12     +0.930      0.40      -1.735     2.377  down
delta      Ch14-Ch13     +1.080      0.40      -1.750     2.365  down
theta      Ch3-Ch2       -0.565      0.57      -1.299     1.622  down
theta      Ch4-Ch3       -0.415      0.29      -1.645     1.675  down
theta      Ch10-Ch9      +0.480      0.71      -1.644     1.785  down
theta      Ch11-Ch10     +0.630      0.71      -1.698     1.820  down
theta      Ch13-Ch12     +0.930      1.00      -2.220     2.749  down
theta      Ch14-Ch13     +1.080      1.00      -2.233     2.677  down
theta      Ch15-Ch14     +1.230      0.86      -2.123     2.864  down
alpha      Ch3-Ch2       -0.565      0.62      -1.374     1.702  down
alpha      Ch4-Ch3       -0.415      0.62      -1.511     1.696  down
alpha      Ch10-Ch9      +0.480      0.88      -1.925     2.685  down
alpha      Ch11-Ch10     +0.630      0.88      -2.091     2.809  down
alpha      Ch13-Ch12     +0.930      1.00      -2.762     3.194  down
alpha      Ch14-Ch13     +1.080      1.00      -2.720     3.178  down
alpha      Ch15-Ch14     +1.230      0.75      -2.119     2.816  down
beta       Ch10-Ch9      +0.480      0.54      -1.222     2.049  down
beta       Ch11-Ch10     +0.630      0.50      -1.191     2.059  down
beta       Ch13-Ch12     +0.930      1.00      -2.615     3.858  down
beta       Ch14-Ch13     +1.080      1.00      -2.771     4.009  down
beta       Ch15-Ch14     +1.230      0.93      -1.686     2.679  down
low_gamma  Ch13-Ch12     +0.930      0.72      -1.303     1.880  down
low_gamma  Ch14-Ch13     +1.080      0.72      -1.288     1.976  down
low_gamma  Ch15-Ch14     +1.230      0.75      -1.314     1.900  down
high_gamma Ch13-Ch12     +0.930      0.37      -1.085     1.742  down
high_gamma Ch14-Ch13     +1.080      0.43      -1.011     1.876  down
