# Lesion L5_L23
# Significant band/channel combinations (>=25% of bins pass FDR<0.05)

band       channel        depth  frac_sig  med_log2FC   max_abs   dir
theta      Ch13-Ch12     +0.930      0.43      -0.873     1.333  down
theta      Ch15-Ch14     +1.230      0.57      -1.930     2.150  down
alpha      Ch11-Ch10     +0.630      0.38      -1.398     1.426  down
alpha      Ch13-Ch12     +0.930      0.50      -1.020     1.111  down
alpha      Ch14-Ch13     +1.080      0.50      -1.002     1.094  down
alpha      Ch15-Ch14     +1.230      0.38      -1.414     1.690  down
low_gamma  Ch13-Ch12     +0.930      0.28      -1.103     1.479  down
low_gamma  Ch14-Ch13     +1.080      0.25      -1.215     1.567  down
high_gamma Ch13-Ch12     +0.930      0.43      -1.125     1.578  down
high_gamma Ch14-Ch13     +1.080      0.52      -1.118     1.670  down
