# Lesion L4C_L23
# Cluster permutation test, n_perm=1000, forming p<0.01, alpha=0.05
# Channels connectivity: off (per-channel)

## Surviving clusters
 id sign               channels   f_range (Hz) n_bins       mass        p  med_log2FC
  1    -                Ch3-Ch2    9.8-  11.6      4      -21.8   0.0120      -1.999
  2    -                Ch4-Ch3    8.5-   9.8      3      -11.4   0.0270      -1.275
  3    -                Ch9-Ch8   74.5-  75.7      3      -10.8   0.0330      -1.091
  4    -               Ch10-Ch9    3.1-   4.9      4      -14.6   0.0130      -1.249
  5    -               Ch10-Ch9    9.2-  12.2      6      -33.2   0.0080      -1.932
  6    -               Ch10-Ch9   15.3-  29.3     24     -107.6   0.0020      -1.479
  7    -               Ch10-Ch9   33.0-  34.2      3      -11.5   0.0250      -1.556
  8    -              Ch11-Ch10    2.4-   4.9      5      -16.7   0.0130      -1.124
  9    -              Ch11-Ch10    9.2-  12.2      6      -35.9   0.0080      -1.935
 10    -              Ch11-Ch10   15.3-  18.9      7      -37.6   0.0080      -1.914
 11    -              Ch11-Ch10   20.1-  23.8      7      -25.3   0.0090      -1.306
 12    -              Ch11-Ch10   25.6-  29.3      7      -30.4   0.0080      -1.623
 13    -              Ch11-Ch10   33.0-  35.4      5      -18.2   0.0130      -1.164
 14    -              Ch11-Ch10   37.2-  38.5      3      -11.0   0.0320      -1.393
 15    -              Ch11-Ch10   86.1-  87.9      4      -15.7   0.0130      -1.136
 16    -              Ch13-Ch12    1.2-  40.3     65     -666.1   0.0010      -3.407
 17    -              Ch13-Ch12   41.5-  43.3      4      -16.6   0.0130      -1.298
 18    -              Ch13-Ch12   78.7-  80.0      3      -14.2   0.0140      -1.308
 19    -              Ch14-Ch13    1.2-  43.3     70     -734.1   0.0010      -3.467
 20    -              Ch14-Ch13   78.7-  80.0      3      -16.8   0.0130      -1.349
 21    -              Ch14-Ch13   87.3-  88.5      3      -11.6   0.0240      -1.082
 22    -              Ch15-Ch14    3.7-  43.3     66     -611.2   0.0010      -3.097

## Sig channels per band (>=25% bins inside cluster)
band       channel        depth  frac_sig  med_log2FC   dir
delta      Ch10-Ch9      +0.480      0.40      -1.236  down
delta      Ch11-Ch10     +0.630      0.60      -1.124  down
delta      Ch13-Ch12     +0.930      1.00      -2.061  down
delta      Ch14-Ch13     +1.080      1.00      -2.033  down
theta      Ch10-Ch9      +0.480      0.29      -1.249  down
theta      Ch11-Ch10     +0.630      0.29      -1.161  down
theta      Ch13-Ch12     +0.930      1.00      -3.371  down
theta      Ch14-Ch13     +1.080      1.00      -3.323  down
theta      Ch15-Ch14     +1.230      1.00      -2.467  down
alpha      Ch3-Ch2       -0.565      0.50      -1.999  down
alpha      Ch4-Ch3       -0.415      0.38      -1.275  down
alpha      Ch10-Ch9      +0.480      0.75      -1.932  down
alpha      Ch11-Ch10     +0.630      0.75      -1.935  down
alpha      Ch13-Ch12     +0.930      1.00      -5.416  down
alpha      Ch14-Ch13     +1.080      1.00      -5.723  down
alpha      Ch15-Ch14     +1.230      1.00      -4.182  down
beta       Ch10-Ch9      +0.480      0.86      -1.479  down
beta       Ch11-Ch10     +0.630      0.75      -1.482  down
beta       Ch13-Ch12     +0.930      1.00      -4.118  down
beta       Ch14-Ch13     +1.080      1.00      -4.536  down
beta       Ch15-Ch14     +1.230      1.00      -3.885  down
low_gamma  Ch11-Ch10     +0.630      0.25      -1.278  down
low_gamma  Ch13-Ch12     +0.930      0.66      -2.244  down
low_gamma  Ch14-Ch13     +1.080      0.69      -2.314  down
low_gamma  Ch15-Ch14     +1.230      0.69      -2.384  down
