,peakHz,peak,bw_Hz,strength,depth_bias,sup,deep
L6_L4C,4.883,-2.646,18.921,-0.737,0.301,-0.758,-0.457
L4C_L23,10.376,-1.706,30.518,-0.572,0.94,-1.15,-0.211
L4AB_L23,21.973,-1.48,94.604,-0.53,0.745,-1.0,-0.255
L4C_L4AB,23.804,-1.477,91.553,-0.511,0.688,-0.861,-0.173
L5_L6,11.597,-1.683,13.428,-0.297,-0.272,-0.22,-0.492
L5_L23,42.725,-0.695,94.604,-0.247,0.376,-0.479,-0.103
L4AB_L5,11.597,-0.933,86.67,-0.21,-0.031,-0.23,-0.261
L4C_L5,32.959,-0.699,77.515,-0.184,0.06,-0.213,-0.153
L6_L4AB,4.883,-0.933,90.942,-0.177,-0.001,-0.181,-0.181
L4AB_L4C,32.959,-0.602,89.722,-0.156,0.038,-0.206,-0.168
L4C_L6,11.597,-1.605,1.831,-0.149,-0.276,-0.068,-0.344
L23_L5,12.207,-1.079,72.632,-0.143,-0.162,-0.08,-0.242
L6_L5,4.883,-0.742,81.177,-0.107,-0.025,-0.105,-0.13
L23_L6,12.207,-0.724,91.553,-0.102,0.008,-0.112,-0.104
L4AB_L6,70.19,-0.593,86.67,-0.061,-0.048,-0.061,-0.109
L6_L23,11.597,-0.767,27.466,-0.051,0.061,-0.122,-0.061
L5_L4C,21.973,-0.391,94.604,0.008,-0.112,0.033,-0.078
L5_L4AB,23.804,-0.403,87.28,0.014,-0.224,0.114,-0.111
