lesion,cluster_id,sign,ch_lo,ch_hi,depth_lo,depth_hi,f_lo,f_hi,n_bins,mass,p_cluster,median_log2fc,band_hint
L23_L5,1,+1,Ch3-Ch2,Ch3-Ch2,-0.565,-0.565,4.27,6.10,4,+22.968,0.0010,+1.8181,theta
L23_L5,2,+1,Ch11-Ch10,Ch11-Ch10,+0.630,+0.630,5.49,7.32,4,+16.297,0.0020,+1.1806,theta
L23_L5,3,+1,Ch15-Ch14,Ch15-Ch14,+1.230,+1.230,4.27,6.71,5,+24.709,0.0010,+1.3521,theta
L23_L5,4,-1,Ch3-Ch2,Ch3-Ch2,-0.565,-0.565,8.54,12.21,7,-35.801,0.0010,-1.9261,alpha
L23_L5,5,-1,Ch3-Ch2,Ch3-Ch2,-0.565,-0.565,81.18,82.40,3,-11.884,0.0100,-1.5843,high_gamma
L23_L5,6,-1,Ch4-Ch3,Ch4-Ch3,-0.415,-0.415,7.93,9.77,4,-18.657,0.0020,-1.6654,multi
L23_L5,7,-1,Ch4-Ch3,Ch4-Ch3,-0.415,-0.415,75.07,76.29,3,-10.964,0.0200,-1.2426,high_gamma
L23_L5,8,-1,Ch10-Ch9,Ch10-Ch9,+0.480,+0.480,10.38,11.60,3,-9.902,0.0500,-1.0060,alpha
L23_L5,9,-1,Ch13-Ch12,Ch13-Ch12,+0.930,+0.930,10.38,12.21,4,-13.679,0.0030,-1.2443,alpha
L23_L5,10,-1,Ch14-Ch13,Ch14-Ch13,+1.080,+1.080,10.38,12.21,4,-13.627,0.0030,-1.2569,alpha
L4AB_L23,1,+1,Ch3-Ch2,Ch3-Ch2,-0.565,-0.565,4.88,6.71,4,+14.337,0.0120,+1.0980,theta
L4AB_L23,2,-1,Ch3-Ch2,Ch3-Ch2,-0.565,-0.565,9.77,12.82,6,-22.511,0.0030,-1.2174,alpha
L4AB_L23,3,-1,Ch4-Ch3,Ch4-Ch3,-0.415,-0.415,9.77,11.60,4,-14.303,0.0120,-1.2574,alpha
L4AB_L23,4,-1,Ch7-Ch6,Ch7-Ch6,+0.030,+0.030,4.88,6.10,3,-12.251,0.0150,-1.1225,theta
L4AB_L23,5,-1,Ch8-Ch7,Ch8-Ch7,+0.180,+0.180,4.27,5.49,3,-11.207,0.0200,-1.0028,theta
L4AB_L23,6,-1,Ch10-Ch9,Ch10-Ch9,+0.480,+0.480,8.54,20.14,20,-107.696,0.0020,-1.7545,multi
L4AB_L23,7,-1,Ch10-Ch9,Ch10-Ch9,+0.480,+0.480,21.97,29.91,14,-60.019,0.0020,-1.6215,beta
L4AB_L23,8,-1,Ch10-Ch9,Ch10-Ch9,+0.480,+0.480,32.35,34.18,4,-14.793,0.0090,-1.1917,low_gamma
L4AB_L23,9,-1,Ch11-Ch10,Ch11-Ch10,+0.630,+0.630,8.54,13.43,9,-61.315,0.0020,-2.3434,multi
L4AB_L23,10,-1,Ch11-Ch10,Ch11-Ch10,+0.630,+0.630,14.65,18.92,8,-38.965,0.0020,-1.7457,beta
L4AB_L23,11,-1,Ch11-Ch10,Ch11-Ch10,+0.630,+0.630,21.97,24.41,5,-20.827,0.0050,-1.6547,beta
L4AB_L23,12,-1,Ch11-Ch10,Ch11-Ch10,+0.630,+0.630,26.86,29.91,6,-25.745,0.0030,-1.4062,beta
L4AB_L23,13,-1,Ch13-Ch12,Ch13-Ch12,+0.930,+0.930,1.22,40.28,65,-570.351,0.0010,-2.7959,multi
L4AB_L23,14,-1,Ch13-Ch12,Ch13-Ch12,+0.930,+0.930,41.50,43.95,5,-17.470,0.0050,-1.2913,low_gamma
L4AB_L23,15,-1,Ch13-Ch12,Ch13-Ch12,+0.930,+0.930,87.28,88.50,3,-13.412,0.0120,-1.4134,high_gamma
L4AB_L23,16,-1,Ch13-Ch12,Ch13-Ch12,+0.930,+0.930,96.44,97.66,3,-11.724,0.0180,-1.1971,high_gamma
L4AB_L23,17,-1,Ch14-Ch13,Ch14-Ch13,+1.080,+1.080,1.22,42.11,68,-593.534,0.0010,-2.9437,multi
L4AB_L23,18,-1,Ch14-Ch13,Ch14-Ch13,+1.080,+1.080,87.28,88.50,3,-17.028,0.0050,-1.6419,high_gamma
L4AB_L23,19,-1,Ch14-Ch13,Ch14-Ch13,+1.080,+1.080,90.33,93.38,6,-19.149,0.0050,-1.1587,high_gamma
L4AB_L23,20,-1,Ch14-Ch13,Ch14-Ch13,+1.080,+1.080,95.21,97.66,5,-19.931,0.0050,-1.3124,high_gamma
L4AB_L23,21,-1,Ch15-Ch14,Ch15-Ch14,+1.230,+1.230,4.27,5.49,3,-18.317,0.0050,-1.8632,theta
L4AB_L23,22,-1,Ch15-Ch14,Ch15-Ch14,+1.230,+1.230,8.54,45.78,62,-405.239,0.0010,-2.3111,multi
